treeNum,rawAccuracy,prunedAccuracy,nullAccuracy
1,3.370504609363338,3.252584718023082,2.2309560464691782
2,3.834990413239063,2.6544838264158948,1.8387569144754339
3,4.770350093250448,4.358188820704704,1.8981192023599802
4,5.109229100995813,3.7886545303675407,2.173209471420113
5,3.999651997763159,3.596807438367459,2.1510008799148963
6,4.1633110408438005,3.661507067194867,1.919100212906193
7,3.721344273878754,3.598340976686129,2.0876217549022047
8,4.6731833204082465,3.3906112898029637,1.982787003574286
9,3.428744220532078,2.3851621708916557,1.732297650591593
10,4.43595045483917,3.985740678959856,2.3398359821776675
