treeNum,rawAccuracy,prunedAccuracy,nullAccuracy
1,4184.583603896103,10509.212834872043,27368.399553571428
2,7634.5250462288095,7302.04906073117,28847.297087585037
3,7990.879351851852,7720.252704516551,34961.80771683674
4,14060.358796296297,15448.937300916648,21253.88892431973
5,3257.4970356198037,3417.2940836797684,21873.062393707485
6,21164.909822163434,19467.444078115812,34342.63424744898
7,23462.636706349207,23464.596656408597,25141.38892431973
8,8111.763456979274,7164.1216525260115,31074.307716836738
9,3559.142698412699,6034.438660714285,25840.354910714286
10,3819.702585924177,3533.506659188403,30375.341730442182
