Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum
M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,254
M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,490
M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,2237
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,3244
M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,290
M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,9,3037
I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,2762
I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8,2725
M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10,3990
I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8,3813
F,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13,3895
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5,3745
M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10,2969
I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,9,1297
I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,1064
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13,3191
F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,2167
M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,676
M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7,2490
I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8,1768
I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7,3411
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8,2666
M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8,2979
M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,2481
I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,2198
F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9,476
F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9,1666
M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14,3295
F,0.545,0.415,0.2,1.358,0.567,0.318,0.403,10,1788
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4,2458
F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8,2585
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,344
I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,1117
I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8,1845
I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10,3568
F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10,3509
M,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9,1715
F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10,850
F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10,791
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7,3718
M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7,2575
M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10,1341
F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9,2982
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11,4161
I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13,3368
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,56
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,188
M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10,854
F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11,799
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,2140
M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8,2890
M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11,1518
M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8,1505
M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10,2685
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,1211
F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16,371
F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8,3098
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,336
F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10,3881
F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10,1795
F,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13,3950
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,187
I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8,1568
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8,1346
M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,1143
I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8,2565
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,220
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10,2419
I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9,3544
M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7,1769
F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11,1681
I,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,9,2962
M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12,2175
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10,3467
M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7,2062
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,183
F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7,3441
M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11,3046
I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,1264
F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11,1954
I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7,3108
F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11,1802
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,221
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9,980
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9,2584
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10,1305
M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9,872
I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6,916
M,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12,1946
F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8,3593
I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6,3432
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,1273
I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6,783
F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14,2179
M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9,1657
I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7,2570
M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10,3961
M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7,956
F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11,1983
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,61
F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20,2176
M,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10,2849
M,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12,3800
F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15,3302
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7,3254
I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3,2711
I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,1070
I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,3524
F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9,3096
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8,2376
F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,2077
I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9,2757
M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15,883
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13,3690
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,9
M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9,1780
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16,3219
I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8,1258
F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,623
I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,1078
I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9,2652
I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8,2059
M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20,355
F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9,3689
I,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8,3011
I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6,3085
F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25,2201
M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,1032
I,0.405,0.3,0.09,0.269,0.103,0.067,0.11,6,1833
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8,4168
I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6,1881
M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20,417
I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6,2631
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,218
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,2321
I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,1082
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11,4141
M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8,836
M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12,2621
M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8,2599
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10,2623
F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13,752
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16,2467
F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16,2368
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9,832
I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7,966
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15,339
F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14,420
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8,3493
M,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255,8,4128
M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13,2970
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,139
M,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10,1621
F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12,3901
M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15,749
M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14,2474
F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9,3415
F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,454
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7,4029
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,51
F,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7,3121
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10,2441
M,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12,1967
M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,378
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,2338
I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6,923
F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14,3860
I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8,3110
M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9,2494
F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,2219
M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10,684
M,0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9,2016
I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7,833
I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9,3770
M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11,435
M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11,2699
F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12,2536
I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,7,2875
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9,2444
F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10,4084
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,2117
I,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8,1609
M,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13,2986
M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9,2674
M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11,2708
I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7,2563
F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10,1404
M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10,3039
F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11,1760
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,2125
M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10,3612
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10,2935
I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8,3334
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,151
F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10,3003
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8,2583
M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11,4133
F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11,3059
M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10,2920
I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7,1467
F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12,3956
M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,1936
I,0.53,0.395,0.115,0.475,0.2025,0.101,0.148,8,3762
F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24,3149
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14,2396
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,3225
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18,3401
I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6,3115
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,1180
M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8,406
F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,452
M,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12,3923
I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9,1572
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10,289
I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7,2008
