buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
low,low,2,2,med,high,unacc,1625
high,vhigh,5more,2,med,med,unacc,517
high,low,5more,more,med,low,unacc,858
med,med,2,2,med,med,unacc,1084
med,low,2,2,big,high,unacc,1196
high,high,4,4,small,med,unacc,604
vhigh,vhigh,2,more,small,low,unacc,18
med,high,5more,2,med,high,unacc,1058
high,high,3,more,small,low,unacc,585
vhigh,vhigh,4,2,small,low,unacc,54
high,high,3,2,med,med,unacc,571
vhigh,vhigh,3,2,small,low,unacc,27
low,med,3,2,med,low,unacc,1542
low,high,5more,4,med,low,unacc,1497
med,low,4,4,med,low,unacc,1254
low,low,5more,2,med,low,unacc,1704
vhigh,med,4,2,big,med,unacc,277
vhigh,high,3,4,big,high,unacc,152
low,high,2,4,small,low,unacc,1413
vhigh,vhigh,4,2,big,med,unacc,61
vhigh,high,4,more,med,med,unacc,184
med,med,2,2,med,low,unacc,1083
vhigh,vhigh,2,2,med,high,unacc,5
vhigh,vhigh,3,4,big,low,unacc,42
low,med,3,2,small,med,unacc,1540
vhigh,high,4,4,med,low,unacc,174
med,low,4,2,small,med,unacc,1243
vhigh,high,5more,more,big,low,unacc,213
med,high,5more,more,big,low,unacc,1077
high,high,4,2,small,low,unacc,594
med,high,3,4,small,med,unacc,1009
med,vhigh,2,more,med,low,unacc,885
med,high,2,more,big,low,unacc,996
low,vhigh,5more,4,small,med,unacc,1387
med,high,2,2,med,high,unacc,977
vhigh,low,2,2,big,med,unacc,331
med,med,3,more,med,low,unacc,1128
low,med,2,more,big,low,unacc,1536
vhigh,low,2,4,small,med,unacc,334
low,high,5more,2,small,med,unacc,1486
vhigh,vhigh,4,4,big,high,unacc,71
high,vhigh,5more,4,small,med,unacc,523
low,high,2,more,small,med,unacc,1423
vhigh,high,3,4,big,low,unacc,150
med,vhigh,4,2,med,med,unacc,922
high,vhigh,4,4,big,high,unacc,503
low,vhigh,2,2,med,low,unacc,1299
med,vhigh,2,4,med,low,unacc,876
vhigh,vhigh,2,more,big,low,unacc,24
med,low,2,2,big,med,unacc,1195
med,med,4,2,big,high,unacc,1142
low,high,5more,2,med,high,unacc,1490
high,med,3,2,big,med,unacc,682
med,high,4,more,small,med,unacc,1045
vhigh,low,2,2,small,med,unacc,325
low,med,5more,more,small,low,unacc,1611
high,med,2,2,big,med,unacc,655
low,vhigh,5more,more,small,low,unacc,1395
high,med,3,4,med,med,unacc,688
med,high,4,4,small,med,unacc,1036
vhigh,vhigh,3,2,med,low,unacc,30
med,med,4,2,med,low,unacc,1137
high,low,5more,2,big,high,unacc,845
low,med,2,2,small,med,unacc,1513
low,high,4,2,big,low,unacc,1464
med,low,2,2,med,low,unacc,1191
med,low,5more,more,small,low,unacc,1287
med,med,5more,more,small,low,unacc,1179
vhigh,high,2,more,small,high,unacc,128
med,med,2,more,small,low,unacc,1098
vhigh,vhigh,5more,more,med,high,unacc,104
high,med,2,4,med,med,unacc,661
vhigh,high,3,more,big,low,unacc,159
high,high,5more,more,big,low,unacc,645
med,high,5more,4,big,low,unacc,1068
low,high,2,more,med,low,unacc,1425
