sampleNum,ERP
0,199
1,253
2,253
3,253
4,132
5,290
6,381
7,381
8,749
9,1238
10,23
11,24
12,70
13,117
14,15
15,64
16,23
17,29
18,22
19,124
20,35
21,39
22,40
23,45
24,28
25,21
26,28
27,22
28,28
29,27
30,102
31,102
32,74
33,74
34,138
35,136
36,23
37,29
38,44
39,30
40,41
41,74
42,74
43,74
44,54
45,41
46,18
47,28
48,36
49,38
50,34
51,19
52,72
53,36
54,30
55,56
56,42
57,34
58,34
59,34
60,34
61,34
62,19
63,75
64,113
65,157
66,18
67,20
68,28
69,33
70,47
71,54
72,20
73,23
74,25
75,52
76,27
77,50
78,18
79,53
80,23
81,30
82,73
83,20
84,25
85,28
86,29
87,32
88,175
89,57
90,181
91,181
92,32
93,82
94,171
95,361
96,350
97,220
98,113
99,15
100,21
101,35
102,18
103,20
104,20
105,28
106,45
107,18
108,17
109,26
110,28
111,28
112,31
113,31
114,42
115,76
116,76
117,26
118,59
119,65
120,101
121,116
122,18
123,20
124,20
125,30
126,44
127,44
128,82
129,82
130,128
131,37
132,46
133,46
134,80
135,88
136,88
137,33
138,46
139,29
140,53
141,53
142,41
143,86
144,95
145,107
146,117
147,119
148,120
149,48
150,126
151,266
152,270
153,426
154,151
155,267
156,603
157,19
158,21
159,26
160,35
161,41
162,47
163,62
164,78
165,80
166,80
167,142
168,281
169,190
170,21
171,25
172,67
173,24
174,24
175,64
176,25
177,20
178,29
179,43
180,53
181,19
182,22
183,31
184,41
185,47
186,99
187,67
188,81
189,149
190,183
191,275
192,382
193,56
194,182
195,227
196,341
197,360
198,919
199,978
200,24
201,24
202,24
203,24
204,37
205,50
206,41
207,47
208,25
