X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
6,5,9,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,2.613006652415316,367
3,4,8,7,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,1.4350845252893227,428
6,5,3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,3.492256112609122,218
3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,97
3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,3.607669398688393,220
8,6,8,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0,431
8,6,7,7,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,1.9878743481543455,421
2,4,8,7,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,2.833213344056216,384
6,4,9,2,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,19
9,9,2,5,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,75
1,3,3,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,76
8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,1.463255402256019,457
6,5,9,5,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,2.9601050959108397,373
5,4,8,7,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,0.0,413
1,4,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,2.105352923464337,320
2,2,7,5,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,3.6381123370602833,222
4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,108
6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,3.2492110246642736,280
6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,2.727199019940971,310
4,5,9,6,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,5.049086480470509,233
4,5,3,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,105
9,4,7,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,2.1972245773362196,290
6,5,9,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,1.6900958154515549,323
2,5,9,2,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,2.0844290831908747,184
6,3,7,2,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,2.081938421878423,415
8,6,8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0.0,436
7,4,8,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,0.9242589015233319,252
7,5,9,6,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,8
2,2,9,5,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,65
6,4,8,5,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,3.392492941032009,387
7,4,8,6,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.0784095813505903,458
5,6,3,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,2.7073833121145063,203
8,6,3,7,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,3
