Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum
republican,n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y,240
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,279
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228
republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,36
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,57
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,132
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250
republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,248
republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,420
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,379
republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,313
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,122
republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,79
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135
republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,14
republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,231
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,327
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,134
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n,434
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,217
republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,413
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,55
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,126
republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,239
republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,207
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,125
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,121
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304
republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,188
republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,403
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,310
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,107
republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,10
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,61
republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,432
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,15
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,266
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,211
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302
republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?,400
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273
republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,51
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,7
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,276
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,278
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,233
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,33
