Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum
republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,345
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,251
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,86
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,303
republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n,99
republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,224
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,49
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,195
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,8
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,308
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,53
republican,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,0
republican,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y,197
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,67
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,283
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,154
republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,430
republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?,281
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,65
republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,351
republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,223
republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,427
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,235
republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y,359
republican,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y,242
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,378
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,156
republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,73
republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,295
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,253
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,356
republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,66
republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,410
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,264
democrat,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y,290
democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,115
democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,17
democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,396
democrat,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y,287
democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,384
democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?,348
democrat,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y,22
democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y,246
democrat,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?,238
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,319
democrat,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?,45
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,63
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,186
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,69
democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,88
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,91
democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,160
democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,147
democrat,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?,144
democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,406
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,138
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,222
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,411
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?,41
democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,213
democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,312
democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,?,388
democrat,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?,159
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,34
democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?,168
democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,?,215
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,318
democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,298
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,25
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,328
democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,407
democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?,164
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,255
democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,350
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,116
democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,68
democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,161
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,270
