MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
90,256,1000,0,3,10,17,66
400,2000,4000,0,1,1,32,105
38,8000,24000,160,4,8,140,168
38,8000,32000,64,8,24,326,155
56,4000,16000,0,1,8,46,164
250,512,4000,0,4,7,50,174
56,4000,12000,0,1,8,42,163
400,1000,3000,0,1,2,38,10
105,2000,4000,8,3,8,22,183
150,512,4000,0,8,128,30,137
143,1000,2000,0,5,16,31,18
143,512,5000,0,7,32,28,17
480,1000,4000,0,0,0,45,208
330,1000,2000,0,1,2,16,83
160,512,2000,2,3,8,32,177
140,2000,4000,0,3,6,29,85
25,1310,2620,131,12,24,274,30
38,4000,8000,32,16,32,51,165
50,2000,32000,48,26,52,208,195
160,2000,8000,32,1,13,109,180
50,4000,16000,64,5,10,111,147
25,2000,12000,8,1,4,49,118
1100,512,1500,0,1,1,7,102
116,2000,8000,32,5,28,70,193
72,4000,16000,64,8,16,143,148
800,256,8000,0,1,4,16,60
29,8000,32000,32,8,32,269,1
26,16000,32000,64,16,24,465,95
124,1000,8000,0,1,8,42,204
50,2000,16000,24,6,16,54,135
50,2000,4000,0,3,6,27,125
105,2000,8000,16,4,14,58,185
115,2000,4000,2,1,5,40,139
112,1000,1000,0,1,4,8,157
50,2000,16000,24,6,16,65,136
50,2000,16000,12,3,16,45,134
140,2000,32000,32,1,20,134,88
900,512,1000,0,1,2,11,108
133,1000,12000,9,3,12,72,44
800,256,8000,0,1,4,12,57
26,8000,32000,64,12,16,248,191
900,1000,4000,8,1,2,22,110
700,256,2000,0,1,1,24,51
75,4000,16000,16,1,6,66,143
300,768,12000,6,6,24,50,75
50,4000,32000,112,52,104,397,197
50,1000,8000,8,3,5,36,40
1500,768,1000,0,0,0,12,122
1500,768,2000,0,0,0,18,123
40,8000,32000,64,8,24,277,151
26,8000,32000,64,8,32,318,5
60,4000,16000,32,1,6,86,144
56,1000,4000,0,1,6,17,159
40,8000,16000,32,8,16,214,150
92,2000,8000,32,1,6,60,141
350,64,64,0,1,4,10,14
29,8000,16000,32,8,16,132,4
180,512,4000,0,1,3,21,203
50,2000,32000,112,52,104,307,196
800,256,8000,0,1,4,22,61
110,1000,4000,16,1,2,26,54
160,1000,4000,8,1,14,38,178
50,500,2000,8,1,4,20,36
26,16000,32000,64,8,24,465,96
56,2000,6000,0,1,8,21,160
38,16000,32000,128,16,32,510,153
143,3100,6200,0,5,20,33,21
180,512,4000,0,1,3,14,201
105,256,2000,0,3,10,26,67
140,2000,32000,32,1,54,189,91
17,4000,16000,32,6,12,133,121
110,1000,12000,16,1,2,60,55
29,8000,32000,32,8,32,172,3
480,512,8000,32,0,0,67,207
30,16000,32000,256,16,24,510,156
700,384,8000,0,1,1,24,50
105,2000,6000,16,6,16,33,184
160,1000,8000,16,1,14,60,179
50,2000,16000,24,1,6,80,129
800,768,2000,0,0,0,20,124
48,4000,24000,32,8,24,214,154
175,256,2000,0,3,24,22,72
180,2000,8000,8,1,6,50,114
180,262,4000,0,1,3,18,202
250,1000,16000,1,1,8,50,175
75,2000,8000,64,1,38,144,63
72,2000,8000,16,6,8,105,149
100,1000,8000,24,2,6,26,132
200,1000,2000,0,1,2,25,170
50,2000,8000,8,3,6,45,126
60,4000,16000,64,5,8,93,146
23,32000,64000,128,32,64,1144,9
300,768,4500,0,1,24,45,76
900,1000,4000,4,1,2,18,109
17,4000,16000,8,6,12,100,120
75,3000,8000,8,3,48,64,71
52,4000,16000,32,4,12,130,186
203,1000,2000,0,1,5,24,100
50,2000,16000,24,1,6,70,128
180,262,4000,0,1,3,12,200
810,1000,5000,0,1,1,20,47
143,2300,6200,0,6,64,61,22
98,1000,8000,32,2,8,46,205
810,512,512,8,1,1,18,46
330,1000,3000,0,2,4,16,80
320,512,8000,4,1,5,40,48
225,2000,4000,8,3,6,34,113
250,512,4000,0,1,7,25,173
900,2000,4000,0,3,6,37,111
800,256,8000,0,1,4,14,58
26,8000,16000,0,8,16,185,98
320,512,2000,4,1,3,69,25
800,256,8000,0,1,4,20,59
59,8000,16000,64,12,24,188,189
480,96,512,0,1,1,6,99
110,3100,6200,0,6,64,76,23
35,8000,32000,64,8,24,370,152
26,8000,32000,0,8,24,277,97
75,2000,16000,64,1,38,144,64
50,2000,32000,24,6,26,114,194
50,2000,8000,8,1,5,71,38
100,1000,8000,0,2,6,16,131
25,2000,12000,16,3,5,66,119
38,4000,8000,32,16,32,116,166
105,1000,4000,0,3,24,32,68
143,1500,6300,0,5,32,30,20
240,512,1000,8,1,3,6,181
50,4000,16000,65,1,8,138,13
50,2000,8000,8,1,6,56,127
240,512,2000,8,1,5,11,182
140,1000,16000,16,1,3,138,52
56,5240,20970,30,12,24,106,34
64,5240,20970,30,12,24,208,35
50,2620,10480,30,12,24,63,33
300,192,768,6,6,24,36,78
56,2000,8000,0,1,8,24,161
167,524,2000,8,4,15,19,16
75,2000,8000,8,3,24,62,70
140,2000,32000,32,1,54,141,90
30,8000,64000,128,12,176,1150,199
57,4000,24000,64,12,16,237,94
140,2000,4000,8,1,20,22,92
84,1000,2000,0,1,6,12,158
92,2000,8000,32,1,6,62,140
300,384,12000,6,1,24,53,77
115,512,6000,16,1,6,45,101
220,1000,8000,16,1,2,71,56
200,2000,8000,64,1,5,41,172
300,1000,4000,8,3,64,38,81
56,4000,8000,0,1,8,34,162
50,2000,16000,8,3,5,40,41
30,8000,64000,96,12,176,915,198
300,768,3000,0,6,24,36,73
200,1000,4000,0,1,4,30,171
23,16000,32000,64,16,32,489,7
320,256,5000,4,1,6,27,29
38,8000,16000,64,4,8,100,167
100,1000,8000,24,3,6,32,133
26,8000,24000,32,8,16,173,190
29,8000,32000,32,8,32,220,2
225,2000,4000,8,3,6,40,112
38,4000,16000,128,16,32,212,169
200,512,8000,8,1,8,62,49
50,1000,4000,8,3,5,26,39
75,2000,16000,128,1,38,259,65
320,256,6000,0,1,6,33,26
50,8000,16000,48,1,10,136,130
180,768,12000,6,1,31,84,79
