buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
med,low,5more,4,med,low,unacc,1281,2
low,low,5more,4,med,low,unacc,1713,2
high,low,3,4,med,low,unacc,795,2
med,med,2,4,med,low,unacc,1092,2
high,high,5more,more,med,low,unacc,642,2
vhigh,vhigh,5more,more,med,med,unacc,103,2
low,low,5more,2,small,high,unacc,1703,2
med,high,5more,2,small,med,unacc,1054,2
high,high,4,2,small,low,unacc,594,2
high,med,4,2,big,med,unacc,709,2
high,vhigh,4,more,big,high,unacc,512,2
vhigh,high,2,4,med,low,unacc,120,2
vhigh,high,4,more,big,med,unacc,187,2
vhigh,low,2,more,med,med,unacc,346,2
vhigh,med,4,4,small,med,unacc,280,2
vhigh,high,2,2,med,high,unacc,113,2
high,vhigh,5more,4,med,med,unacc,526,2
vhigh,med,2,4,big,low,unacc,231,2
vhigh,vhigh,2,4,big,low,unacc,15,2
low,vhigh,2,more,med,low,unacc,1317,2
med,med,3,more,small,low,unacc,1125,2
high,vhigh,3,4,big,high,unacc,476,2
med,low,2,more,small,med,unacc,1207,2
med,med,2,more,small,med,unacc,1099,2
low,med,2,4,big,low,unacc,1527,2
low,low,4,4,med,low,unacc,1686,2
vhigh,vhigh,3,more,big,med,unacc,52,2
high,low,5more,more,small,med,unacc,856,2
low,vhigh,4,2,small,low,unacc,1350,2
low,vhigh,2,more,small,high,unacc,1316,2
vhigh,vhigh,5more,more,small,low,unacc,99,2
low,vhigh,3,2,med,high,unacc,1328,2
high,med,5more,more,small,low,unacc,747,2
vhigh,high,3,2,small,med,unacc,136,2
high,vhigh,3,4,big,low,unacc,474,2
med,low,5more,4,big,low,unacc,1284,2
vhigh,low,3,4,med,med,unacc,364,2
med,high,5more,2,big,med,unacc,1060,2
vhigh,high,4,more,small,low,unacc,180,2
high,med,2,more,med,low,unacc,669,2
high,low,3,2,big,med,unacc,790,2
vhigh,med,3,more,small,low,unacc,261,2
med,vhigh,4,more,small,med,unacc,937,2
high,med,4,2,med,high,unacc,707,2
vhigh,med,3,2,med,high,unacc,248,2
high,high,3,2,big,high,unacc,575,2
high,vhigh,5more,2,small,high,unacc,515,2
low,high,2,more,small,med,unacc,1423,2
vhigh,high,4,4,med,low,unacc,174,2
high,high,4,2,med,high,unacc,599,2
med,low,3,4,big,low,unacc,1230,2
low,med,2,2,small,low,unacc,1512,2
high,vhigh,4,2,med,low,unacc,489,2
med,high,5more,4,med,low,unacc,1065,2
high,low,5more,more,small,low,unacc,855,2
vhigh,vhigh,4,2,small,low,unacc,54,2
vhigh,med,2,2,big,med,unacc,223,2
low,high,2,2,small,med,unacc,1405,2
med,med,4,2,small,low,unacc,1134,2
vhigh,low,5more,2,med,low,unacc,408,2
med,med,4,2,big,high,unacc,1142,2
med,vhigh,2,more,small,med,unacc,883,2
med,vhigh,2,2,med,high,unacc,869,2
