Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300,1
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,1
republican,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n,399,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,211,1
republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,274,1
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302,1
republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,413,1
republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,18,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,278,1
republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,314,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,119,1
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,136,1
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,279,1
republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,207,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,30,1
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111,1
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,83,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113,1
republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,313,1
republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,120,1
republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,51,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,58,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,206,1
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,1
republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?,188,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,15,1
republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,89,1
republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,191,1
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163,1
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,416,1
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,266,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,121,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,1
republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,231,1
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347,1
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,369,1
republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,364,1
republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,296,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228,1
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,1
republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,229,1
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,106,1
republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,392,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,122,1
republican,n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y,240,1
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,148,1
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?,190,1
republican,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?,393,1
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,7,1
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,1
republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,343,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,330,1
republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y,432,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,125,1
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,84,1
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,1
republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,10,1
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,412,1
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,217,1
republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,248,1
democrat,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y,415,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,201,1
democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,162,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,43,1
democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,212,1
democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,210,1
democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y,208,1
democrat,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?,297,1
democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,391,1
democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,417,1
democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y,317,1
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,332,1
