nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,Rings,6.590911073777111e-17,6.590911073777111e-17,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['Rings']
2,1,Diameter,-0.5445520663119845,-0.736680597005154,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`Rings`<6.590911073777111e-17,"['Rings', 'Diameter']"
3,1,Shucked weight,0.4539163965927253,0.732285128049276,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,False,`Rings`>=6.590911073777111e-17,"['Rings', 'Shucked weight']"
4,2,Shell weight,-1.222798792514634,-1.0304041209883426,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845,"['Rings', 'Diameter', 'Shell weight']"
5,2,Shell weight,-0.08082599403083092,-0.4938433852909827,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`>=-0.5445520663119845,"['Rings', 'Diameter', 'Shell weight']"
6,3,Shell weight,0.06898998649082944,0.8637174883412846,3,"{'<': np.int64(12), '>=': np.int64(13)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`<0.4539163965927253,"['Rings', 'Shucked weight', 'Shell weight']"
7,3,Shell weight,1.194407350625767,0.5820286956949846,3,"{'<': np.int64(14), '>=': np.int64(15)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`>=0.4539163965927253,"['Rings', 'Shucked weight', 'Shell weight']"
8,4,Length,-1.9225649721120417,-1.2545461455938045,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`<-1.222798792514634,"['Rings', 'Diameter', 'Shell weight', 'Length']"
9,4,Sex,,-0.8121296886500391,4,"{'M': np.int64(18), 'F': np.int64(19), 'I': np.int64(20)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`>=-1.222798792514634,"['Rings', 'Diameter', 'Shell weight', 'Sex']"
10,5,Length,-0.10922510214023402,-0.5578834591040381,4,"{'<': np.int64(21), '>=': np.int64(22)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`>=-0.5445520663119845 & `Shell weight`<-0.08082599403083092,"['Rings', 'Diameter', 'Shell weight', 'Length']"
11,5,Height,0.37586274868736075,-0.4111383653414589,4,"{'<': np.int64(23), '>=': np.int64(24)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`>=-0.5445520663119845 & `Shell weight`>=-0.08082599403083092,"['Rings', 'Diameter', 'Shell weight', 'Height']"
12,6,Sex,,0.5855348314717512,4,"{'F': np.int64(25), 'M': np.int64(26), 'I': np.int64(27)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`<0.4539163965927253 & `Shell weight`<0.06898998649082944,"['Rings', 'Shucked weight', 'Shell weight', 'Sex']"
13,6,Height,0.4587263981780542,1.1533323091917576,4,"{'<': np.int64(28), '>=': np.int64(29)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`<0.4539163965927253 & `Shell weight`>=0.06898998649082944,"['Rings', 'Shucked weight', 'Shell weight', 'Height']"
14,7,Whole weight,0.8649088325638449,0.3671942825146472,4,"{'<': np.int64(30), '>=': np.int64(31)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`>=0.4539163965927253 & `Shell weight`<1.194407350625767,"['Rings', 'Shucked weight', 'Shell weight', 'Whole weight']"
15,7,Viscera weight,1.6198436790657853,0.8338623689230471,4,"{'<': np.int64(32), '>=': np.int64(33)}",False,False,`Rings`>=6.590911073777111e-17 & `Shucked weight`>=0.4539163965927253 & `Shell weight`>=1.194407350625767,"['Rings', 'Shucked weight', 'Shell weight', 'Viscera weight']"
16,8,Whole weight,-1.5607420002213295,-1.5350943901931733,5,"{'<': np.int64(34), '>=': np.int64(35)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`<-1.222798792514634 & `Length`<-1.9225649721120417,"['Rings', 'Diameter', 'Shell weight', 'Length', 'Whole weight']"
17,8,Sex,,-1.0519279689387044,5,"{'I': np.int64(36), 'M': np.int64(37), 'F': np.int64(38)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`<-1.222798792514634 & `Length`>=-1.9225649721120417,"['Rings', 'Diameter', 'Shell weight', 'Length', 'Sex']"
18,9,Whole weight,-0.9960236743130847,-0.6155038522278068,5,"{'<': np.int64(39), '>=': np.int64(40)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`>=-1.222798792514634 & `Sex`=='M',"['Rings', 'Diameter', 'Shell weight', 'Sex', 'Whole weight']"
19,9,Shucked weight,-0.8802579480523232,-0.5332835176701397,5,"{'<': np.int64(41), '>=': np.int64(42)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`>=-1.222798792514634 & `Sex`=='F',"['Rings', 'Diameter', 'Shell weight', 'Sex', 'Shucked weight']"
20,9,Height,-0.8235226256197473,-0.8764795218622394,5,"{'<': np.int64(43), '>=': np.int64(44)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`<-0.5445520663119845 & `Shell weight`>=-1.222798792514634 & `Sex`=='I',"['Rings', 'Diameter', 'Shell weight', 'Sex', 'Height']"
21,10,Shucked weight,-0.4983355136081327,-0.585255057382278,5,"{'<': np.int64(45), '>=': np.int64(46)}",False,False,`Rings`<6.590911073777111e-17 & `Diameter`>=-0.5445520663119845 & `Shell weight`<-0.08082599403083092 & `Length`<-0.10922510214023402,"['Rings', 'Diameter', 'Shell weight', 'Length', 'Shucked weight']"
