nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,Mitoses,5.0934963136924744e-17,2,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['Mitoses']
2,1,Normal Nucleoli,-0.232979730996606,2,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`Mitoses`<5.0934963136924744e-17,"['Mitoses', 'Normal Nucleoli']"
3,1,Bare Nuclei,0.9597919278084315,4,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,False,`Mitoses`>=5.0934963136924744e-17,"['Mitoses', 'Bare Nuclei']"
4,2,Single Epithelial Cell Size,-0.46388930630156355,2,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size']"
5,2,Bare Nuclei,0.8420526430357049,4,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei']"
6,3,Clump Thickness,0.9565786571434441,4,3,"{'<': np.int64(12), '>=': np.int64(13)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315,"['Mitoses', 'Bare Nuclei', 'Clump Thickness']"
7,3,Bland Chromatin,0.9220657620869986,4,3,"{'<': np.int64(14), '>=': np.int64(15)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`>=0.9597919278084315,"['Mitoses', 'Bare Nuclei', 'Bland Chromatin']"
8,4,Clump Thickness,-0.5123031749358199,2,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`<-0.46388930630156355,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Clump Thickness']"
9,4,Bland Chromatin,-0.0023242712823769063,2,4,"{'<': np.int64(18), '>=': np.int64(19)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`>=-0.46388930630156355,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin']"
10,5,Uniformity of Cell Size,0.9999925903521112,4,4,"{'<': np.int64(20), '>=': np.int64(21)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`<0.8420526430357049,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Uniformity of Cell Size']"
11,5,Bland Chromatin,1.2051747335552938,4,4,"{'<': np.int64(22), '>=': np.int64(23)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`>=0.8420526430357049,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Bland Chromatin']"
12,6,Marginal Adhesion,-0.009879679928431846,2,4,"{'<': np.int64(24), '>=': np.int64(25)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315 & `Clump Thickness`<0.9565786571434441,"['Mitoses', 'Bare Nuclei', 'Clump Thickness', 'Marginal Adhesion']"
13,6,Uniformity of Cell Size,1.2913116036829912,4,4,"{'<': np.int64(26), '>=': np.int64(27)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315 & `Clump Thickness`>=0.9565786571434441,"['Mitoses', 'Bare Nuclei', 'Clump Thickness', 'Uniformity of Cell Size']"
14,7,Clump Thickness,1.3034834821127086,4,4,"{'<': np.int64(28), '>=': np.int64(29)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`>=0.9597919278084315 & `Bland Chromatin`<0.9220657620869986,"['Mitoses', 'Bare Nuclei', 'Bland Chromatin', 'Clump Thickness']"
15,7,Uniformity of Cell Shape,1.3640271565676931,4,4,"{'<': np.int64(30), '>=': np.int64(31)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`>=0.9597919278084315 & `Bland Chromatin`>=0.9220657620869986,"['Mitoses', 'Bare Nuclei', 'Bland Chromatin', 'Uniformity of Cell Shape']"
16,8,Bland Chromatin,-0.5494544661547641,2,5,"{'<': np.int64(32), '>=': np.int64(33)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`<-0.46388930630156355 & `Clump Thickness`<-0.5123031749358199,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Clump Thickness', 'Bland Chromatin']"
17,8,Bland Chromatin,-0.5164754780541579,2,5,"{'<': np.int64(34), '>=': np.int64(35)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`<-0.46388930630156355 & `Clump Thickness`>=-0.5123031749358199,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Clump Thickness', 'Bland Chromatin']"
18,9,Uniformity of Cell Shape,-0.4332034298898576,2,5,"{'<': np.int64(36), '>=': np.int64(37)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`>=-0.46388930630156355 & `Bland Chromatin`<-0.0023242712823769063,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Uniformity of Cell Shape']"
19,9,Bare Nuclei,1.6643750952508154,4,5,"{'<': np.int64(38), '>=': np.int64(39)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`<-0.232979730996606 & `Single Epithelial Cell Size`>=-0.46388930630156355 & `Bland Chromatin`>=-0.0023242712823769063,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Bare Nuclei']"
20,10,Bland Chromatin,0.13881368429396515,2,5,"{'<': np.int64(40), '>=': np.int64(41)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`<0.8420526430357049 & `Uniformity of Cell Size`<0.9999925903521112,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Uniformity of Cell Size', 'Bland Chromatin']"
21,10,Uniformity of Cell Shape,1.8882194109511452,4,5,"{'<': np.int64(42), '>=': np.int64(43)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`<0.8420526430357049 & `Uniformity of Cell Size`>=0.9999925903521112,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Uniformity of Cell Size', 'Uniformity of Cell Shape']"
22,11,Clump Thickness,0.8978434486830392,4,5,"{'<': np.int64(44), '>=': np.int64(45)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`>=0.8420526430357049 & `Bland Chromatin`<1.2051747335552938,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Bland Chromatin', 'Clump Thickness']"
23,11,Uniformity of Cell Shape,1.240687802595116,4,5,"{'<': np.int64(46), '>=': np.int64(47)}",False,False,`Mitoses`<5.0934963136924744e-17 & `Normal Nucleoli`>=-0.232979730996606 & `Bare Nuclei`>=0.8420526430357049 & `Bland Chromatin`>=1.2051747335552938,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Bland Chromatin', 'Uniformity of Cell Shape']"
24,12,Normal Nucleoli,0.5200745328231419,2,5,"{'<': np.int64(48), '>=': np.int64(49)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315 & `Clump Thickness`<0.9565786571434441 & `Marginal Adhesion`<-0.009879679928431846,"['Mitoses', 'Bare Nuclei', 'Clump Thickness', 'Marginal Adhesion', 'Normal Nucleoli']"
25,12,,,4,5,,False,True,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315 & `Clump Thickness`<0.9565786571434441 & `Marginal Adhesion`>=-0.009879679928431846,"['Mitoses', 'Bare Nuclei', 'Clump Thickness', 'Marginal Adhesion']"
26,13,Bland Chromatin,-0.15490584487842246,4,5,"{'<': np.int64(50), '>=': np.int64(51)}",False,False,`Mitoses`>=5.0934963136924744e-17 & `Bare Nuclei`<0.9597919278084315 & `Clump Thickness`>=0.9565786571434441 & `Uniformity of Cell Size`<1.2913116036829912,"['Mitoses', 'Bare Nuclei', 'Clump Thickness', 'Uniformity of Cell Size', 'Bland Chromatin']"
