nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,month,,1.109501887045701,1,"{np.int64(7): np.int64(2), np.int64(9): np.int64(3), np.int64(8): np.int64(4), np.int64(3): np.int64(5), np.int64(6): np.int64(6), np.int64(2): np.int64(7), np.int64(5): np.int64(8), np.int64(10): np.int64(9), np.int64(1): np.int64(10), np.int64(12): np.int64(11), np.int64(4): np.int64(12)}",True,False,,['month']
2,1,day,,0.8212566107914075,2,"{np.int64(3): np.int64(13), np.int64(4): np.int64(14), np.int64(6): np.int64(15), np.int64(1): np.int64(16), np.int64(2): np.int64(17), np.int64(7): np.int64(18)}",False,False,`month`==7,"['month', 'day']"
3,1,RH,-0.15123589231622528,1.2256839098037637,2,"{'<': np.int64(19), '>=': np.int64(20)}",False,False,`month`==9,"['month', 'RH']"
4,1,day,,1.179199323677496,2,"{np.int64(6): np.int64(21), np.int64(1): np.int64(22), np.int64(2): np.int64(23), np.int64(5): np.int64(24), np.int64(4): np.int64(25), np.int64(7): np.int64(26), np.int64(3): np.int64(27)}",False,False,`month`==8,"['month', 'day']"
5,1,day,,0.6655497603529962,2,"{np.int64(2): np.int64(28), np.int64(1): np.int64(29), np.int64(5): np.int64(30), np.int64(6): np.int64(31), np.int64(4): np.int64(32), np.int64(3): np.int64(33), np.int64(7): np.int64(34)}",False,False,`month`==3,"['month', 'day']"
6,1,day,,0.8774436509353528,2,"{np.int64(7): np.int64(35), np.int64(5): np.int64(36), np.int64(1): np.int64(37), np.int64(3): np.int64(38), np.int64(6): np.int64(39)}",False,False,`month`==6,"['month', 'day']"
7,1,day,,0.7230430171100372,2,"{np.int64(4): np.int64(40), np.int64(5): np.int64(41), np.int64(6): np.int64(42), np.int64(7): np.int64(43), np.int64(1): np.int64(44)}",False,False,`month`==2,"['month', 'day']"
8,1,,,3.675794214565281,2,,False,True,`month`==5,['month']
9,1,day,,0.6424360333193135,2,"{np.int64(1): np.int64(45), np.int64(5): np.int64(46), np.int64(6): np.int64(47), np.int64(3): np.int64(48), np.int64(7): np.int64(49), np.int64(2): np.int64(50)}",False,False,`month`==10,"['month', 'day']"
10,1,,,0.0,2,,False,True,`month`==1,['month']
11,1,Y,0.29252813657063736,2.6330928400175284,2,"{'<': np.int64(51), '>=': np.int64(52)}",False,False,`month`==12,"['month', 'Y']"
