nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features
1,,MMIN,4.824183380811692e-17,122.98809523809524,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['MMIN']
2,1,CACH,-0.3689766523000641,46.60655737704918,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`MMIN`<4.824183380811692e-17,"['MMIN', 'CACH']"
3,1,CHMAX,0.5193147078102502,325.5652173913044,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,False,`MMIN`>=4.824183380811692e-17,"['MMIN', 'CHMAX']"
4,2,CHMAX,-0.25079300769948104,29.977777777777778,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641,"['MMIN', 'CACH', 'CHMAX']"
5,2,CHMAX,-0.04115955832244425,93.375,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`>=-0.3689766523000641,"['MMIN', 'CACH', 'CHMAX']"
6,3,MMAX,0.946492208713815,251.6,3,"{'<': np.int64(12), '>=': np.int64(13)}",False,False,`MMIN`>=4.824183380811692e-17 & `CHMAX`<0.5193147078102502,"['MMIN', 'CHMAX', 'MMAX']"
7,3,MYCT,-0.6251803260160577,818.6666666666666,3,"{'<': np.int64(14), '>=': np.int64(15)}",False,False,`MMIN`>=4.824183380811692e-17 & `CHMAX`>=0.5193147078102502,"['MMIN', 'CHMAX', 'MYCT']"
8,4,CHMIN,-0.5200136492637852,26.78125,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`<-0.25079300769948104,"['MMIN', 'CACH', 'CHMAX', 'CHMIN']"
9,4,MMAX,-0.5899495806242243,37.84615384615385,4,"{'<': np.int64(18), '>=': np.int64(19)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`>=-0.25079300769948104,"['MMIN', 'CACH', 'CHMAX', 'MMAX']"
10,5,MYCT,-0.3955521341225983,50.77777777777778,4,"{'<': np.int64(20), '>=': np.int64(21)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`>=-0.3689766523000641 & `CHMAX`<-0.04115955832244425,"['MMIN', 'CACH', 'CHMAX', 'MYCT']"
11,5,MYCT,-0.4719386550994022,148.14285714285714,4,"{'<': np.int64(22), '>=': np.int64(23)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`>=-0.3689766523000641 & `CHMAX`>=-0.04115955832244425,"['MMIN', 'CACH', 'CHMAX', 'MYCT']"
12,6,CHMIN,0.14212137744584902,151.3,4,"{'<': np.int64(24), '>=': np.int64(25)}",False,False,`MMIN`>=4.824183380811692e-17 & `CHMAX`<0.5193147078102502 & `MMAX`<0.946492208713815,"['MMIN', 'CHMAX', 'MMAX', 'CHMIN']"
13,6,CHMIN,0.6691940355231699,351.9,4,"{'<': np.int64(26), '>=': np.int64(27)}",False,False,`MMIN`>=4.824183380811692e-17 & `CHMAX`<0.5193147078102502 & `MMAX`>=0.946492208713815,"['MMIN', 'CHMAX', 'MMAX', 'CHMIN']"
14,7,CACH,2.6947067045726505,1029.5,4,"{'<': np.int64(28), '>=': np.int64(29)}",False,False,`MMIN`>=4.824183380811692e-17 & `CHMAX`>=0.5193147078102502 & `MYCT`<-0.6251803260160577,"['MMIN', 'CHMAX', 'MYCT', 'CACH']"
15,7,,,397.0,4,,False,True,`MMIN`>=4.824183380811692e-17 & `CHMAX`>=0.5193147078102502 & `MYCT`>=-0.6251803260160577,"['MMIN', 'CHMAX', 'MYCT']"
16,8,MMAX,-0.6236365778305946,24.88,5,"{'<': np.int64(30), '>=': np.int64(31)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`<-0.25079300769948104 & `CHMIN`<-0.5200136492637852,"['MMIN', 'CACH', 'CHMAX', 'CHMIN', 'MMAX']"
17,8,MYCT,0.15491116159751375,33.57142857142857,5,"{'<': np.int64(32), '>=': np.int64(33)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`<-0.25079300769948104 & `CHMIN`>=-0.5200136492637852,"['MMIN', 'CACH', 'CHMAX', 'CHMIN', 'MYCT']"
18,9,MYCT,-0.04911817318945556,32.142857142857146,5,"{'<': np.int64(34), '>=': np.int64(35)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`>=-0.25079300769948104 & `MMAX`<-0.5899495806242243,"['MMIN', 'CACH', 'CHMAX', 'MMAX', 'MYCT']"
19,9,CHMIN,-0.10823813514087838,44.5,5,"{'<': np.int64(36), '>=': np.int64(37)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`<-0.3689766523000641 & `CHMAX`>=-0.25079300769948104 & `MMAX`>=-0.5899495806242243,"['MMIN', 'CACH', 'CHMAX', 'MMAX', 'CHMIN']"
20,10,CHMIN,-0.38495128063147177,60.2,5,"{'<': np.int64(38), '>=': np.int64(39)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`>=-0.3689766523000641 & `CHMAX`<-0.04115955832244425 & `MYCT`<-0.3955521341225983,"['MMIN', 'CACH', 'CHMAX', 'MYCT', 'CHMIN']"
21,10,MMAX,-0.4666884593221402,39.0,5,"{'<': np.int64(40), '>=': np.int64(41)}",False,False,`MMIN`<4.824183380811692e-17 & `CACH`>=-0.3689766523000641 & `CHMAX`<-0.04115955832244425 & `MYCT`>=-0.3955521341225983,"['MMIN', 'CACH', 'CHMAX', 'MYCT', 'MMAX']"
