nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,Rings,2.423754394872873e-16,2.423754394872873e-16,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['Rings'],
2,1.0,Diameter,-0.5514528481771023,-0.7425400837452549,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`Rings`<2.4237543948728734e-16,"['Rings', 'Diameter']",
3,1.0,Shell weight,0.5799986664472618,0.7328279066689203,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,False,`Rings`>=2.4237543948728734e-16,"['Rings', 'Shell weight']",
4,2.0,Height,-1.2842641921023827,-1.0238155559868012,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023,"['Rings', 'Diameter', 'Height']",
5,2.0,Shell weight,-0.0696595931864604,-0.4908049579035054,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023,"['Rings', 'Diameter', 'Shell weight']",
6,3.0,Shucked weight,-0.1615431705382805,0.5919665365802742,3,"{'<': np.int64(12), '>=': np.int64(13)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618,"['Rings', 'Shell weight', 'Shucked weight']",
7,3.0,Shucked weight,1.1434871001647586,0.8851952797598567,3,"{'<': np.int64(14), '>=': np.int64(15)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618,"['Rings', 'Shell weight', 'Shucked weight']",
8,4.0,Length,-1.8910415125191669,-1.2769806599422069,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827,"['Rings', 'Diameter', 'Height', 'Length']",
9,4.0,Sex,,-0.8279276248719855,4,"{'M': np.int64(18), 'I': np.int64(19), 'F': np.int64(20)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`>=-1.2842641921023827,"['Rings', 'Diameter', 'Height', 'Sex']",
10,5.0,Height,-0.2469709535195431,-0.5572285615635189,4,"{'<': np.int64(21), '>=': np.int64(22)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`<-0.06965959318646049,"['Rings', 'Diameter', 'Shell weight', 'Height']",
11,5.0,Whole weight,0.4922909355361871,-0.4117608695480898,4,"{'<': np.int64(23), '>=': np.int64(24)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`>=-0.06965959318646049,"['Rings', 'Diameter', 'Shell weight', 'Whole weight']",
12,6.0,Height,-0.1906612820238136,0.6780261256951642,4,"{'<': np.int64(25), '>=': np.int64(26)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`<-0.1615431705382805,"['Rings', 'Shell weight', 'Shucked weight', 'Height']",
13,6.0,Length,0.5002661291326728,0.4936729862676791,4,"{'<': np.int64(27), '>=': np.int64(28)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`>=-0.1615431705382805,"['Rings', 'Shell weight', 'Shucked weight', 'Length']",
14,7.0,Length,0.7992909567078621,1.0398781102603951,4,"{'<': np.int64(29), '>=': np.int64(30)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`<1.1434871001647586,"['Rings', 'Shell weight', 'Shucked weight', 'Length']",
15,7.0,Whole weight,1.7715708435448845,0.7092333297195613,4,"{'<': np.int64(31), '>=': np.int64(32)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`>=1.1434871001647586,"['Rings', 'Shell weight', 'Shucked weight', 'Whole weight']",
16,8.0,Shell weight,-1.5398253902077248,-1.5589627590972637,5,"{'<': np.int64(33), '>=': np.int64(34)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827 & `Length`<-1.8910415125191669,"['Rings', 'Diameter', 'Height', 'Length', 'Shell weight']",
17,8.0,Sex,,-1.017176928136424,5,"{'I': np.int64(35), 'M': np.int64(36), 'F': np.int64(37)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827 & `Length`>=-1.8910415125191669,"['Rings', 'Diameter', 'Height', 'Length', 'Sex']",
18,9.0,Shucked weight,-0.8958501584354498,-0.631073233404048,5,"{'<': np.int64(38), '>=': np.int64(39)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`>=-1.2842641921023827 & `Sex`=='M',"['Rings', 'Diameter', 'Height', 'Sex', 'Shucked weight']",
19,9.0,Shell weight,-1.0205704962890336,-0.9161126701542152,5,"{'<': np.int64(40), '>=': np.int64(41)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`>=-1.2842641921023827 & `Sex`=='I',"['Rings', 'Diameter', 'Height', 'Sex', 'Shell weight']",
20,9.0,Viscera weight,-0.8816089462895729,-0.6379511614189997,5,"{'<': np.int64(42), '>=': np.int64(43)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`>=-1.2842641921023827 & `Sex`=='F',"['Rings', 'Diameter', 'Height', 'Sex', 'Viscera weight']",
21,10.0,Shucked weight,-0.4990713551393155,-0.6052320523287734,5,"{'<': np.int64(44), '>=': np.int64(45)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`<-0.06965959318646049 & `Height`<-0.24697095351954315,"['Rings', 'Diameter', 'Shell weight', 'Height', 'Shucked weight']",
22,10.0,Sex,,-0.5152727546742017,5,"{'M': np.int64(46), 'I': np.int64(47), 'F': np.int64(48)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`<-0.06965959318646049 & `Height`>=-0.24697095351954315,"['Rings', 'Diameter', 'Shell weight', 'Height', 'Sex']",
23,11.0,Shucked weight,0.177656303454094,-0.4302157259978083,5,"{'<': np.int64(49), '>=': np.int64(50)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`>=-0.06965959318646049 & `Whole weight`<0.4922909355361871,"['Rings', 'Diameter', 'Shell weight', 'Whole weight', 'Shucked weight']",
24,11.0,Length,0.8136581390714898,-0.3933060130983712,5,"{'<': np.int64(51), '>=': np.int64(52)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`>=-0.5514528481771023 & `Shell weight`>=-0.06965959318646049 & `Whole weight`>=0.4922909355361871,"['Rings', 'Diameter', 'Shell weight', 'Whole weight', 'Length']",
25,12.0,Whole weight,-0.7145751687254561,0.4201106714719742,5,"{'<': np.int64(53), '>=': np.int64(54)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`<-0.1615431705382805 & `Height`<-0.19066128202381363,"['Rings', 'Shell weight', 'Shucked weight', 'Height', 'Whole weight']",
26,12.0,Sex,,0.925104796127464,5,"{'I': np.int64(55), 'F': np.int64(56), 'M': np.int64(57)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`<-0.1615431705382805 & `Height`>=-0.19066128202381363,"['Rings', 'Shell weight', 'Shucked weight', 'Height', 'Sex']",
27,13.0,Whole weight,0.1047033366412904,0.5929823975752495,5,"{'<': np.int64(58), '>=': np.int64(59)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`>=-0.1615431705382805 & `Length`<0.5002661291326728,"['Rings', 'Shell weight', 'Shucked weight', 'Length', 'Whole weight']",
28,13.0,Sex,,0.4036448283533397,5,"{'F': np.int64(60), 'M': np.int64(61), 'I': np.int64(62)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`<0.5799986664472618 & `Shucked weight`>=-0.1615431705382805 & `Length`>=0.5002661291326728,"['Rings', 'Shell weight', 'Shucked weight', 'Length', 'Sex']",
29,14.0,Diameter,0.6284802649239688,1.1884074157011866,5,"{'<': np.int64(63), '>=': np.int64(64)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`<1.1434871001647586 & `Length`<0.7992909567078621,"['Rings', 'Shell weight', 'Shucked weight', 'Length', 'Diameter']",
30,14.0,Diameter,1.070088842908775,0.8927240761662781,5,"{'<': np.int64(65), '>=': np.int64(66)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`<1.1434871001647586 & `Length`>=0.7992909567078621,"['Rings', 'Shell weight', 'Shucked weight', 'Length', 'Diameter']",
31,15.0,Viscera weight,1.3299201256455286,0.4841332988505548,5,"{'<': np.int64(67), '>=': np.int64(68)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`>=1.1434871001647586 & `Whole weight`<1.7715708435448845,"['Rings', 'Shell weight', 'Shucked weight', 'Whole weight', 'Viscera weight']",
32,15.0,Length,1.5337901696382443,1.002961418780338,5,"{'<': np.int64(69), '>=': np.int64(70)}",False,False,`Rings`>=2.4237543948728734e-16 & `Shell weight`>=0.5799986664472618 & `Shucked weight`>=1.1434871001647586 & `Whole weight`>=1.7715708435448845,"['Rings', 'Shell weight', 'Shucked weight', 'Whole weight', 'Length']",
33,16.0,Shucked weight,-1.5182216758500449,-1.8102788936767649,6,"{'<': np.int64(71), '>=': np.int64(72)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827 & `Length`<-1.8910415125191669 & `Shell weight`<-1.5398253902077248,"['Rings', 'Diameter', 'Height', 'Length', 'Shell weight', 'Shucked weight']",
34,16.0,Sex,,-1.3076466245177625,6,"{'I': np.int64(73), 'M': np.int64(74), 'F': np.int64(75)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827 & `Length`<-1.8910415125191669 & `Shell weight`>=-1.5398253902077248,"['Rings', 'Diameter', 'Height', 'Length', 'Shell weight', 'Sex']",
35,17.0,Whole weight,-1.28329682475072,-1.0723763791278316,6,"{'<': np.int64(76), '>=': np.int64(77)}",False,False,`Rings`<2.4237543948728734e-16 & `Diameter`<-0.5514528481771023 & `Height`<-1.2842641921023827 & `Length`>=-1.8910415125191669 & `Sex`=='I',"['Rings', 'Diameter', 'Height', 'Length', 'Sex', 'Whole weight']",
