nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,Mitoses,-7.640244470538711e-17,2,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['Mitoses'],
2,1.0,Normal Nucleoli,-0.243248747900695,2,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`Mitoses`<-7.640244470538712e-17,"['Mitoses', 'Normal Nucleoli']",
3,1.0,Bare Nuclei,0.9871208823865424,4,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,True,`Mitoses`>=-7.640244470538712e-17,"['Mitoses', 'Bare Nuclei']",
4,2.0,Single Epithelial Cell Size,-0.4232804807161086,2,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size']",
5,2.0,Bare Nuclei,0.8672903227569924,4,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei']",
8,4.0,Clump Thickness,-0.5296221633783657,2,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`<-0.42328048071610863,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Clump Thickness']",
9,4.0,Bland Chromatin,0.1559276395479213,4,4,"{'<': np.int64(18), '>=': np.int64(19)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin']",
10,5.0,Clump Thickness,0.5436034150550438,4,4,"{'<': np.int64(20), '>=': np.int64(21)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`<0.8672903227569924,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Clump Thickness']",
11,5.0,Bland Chromatin,1.2659821681833427,4,4,"{'<': np.int64(22), '>=': np.int64(23)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`>=0.8672903227569924,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Bland Chromatin']",
18,9.0,Clump Thickness,-0.1960610456309719,2,5,"{'<': np.int64(36), '>=': np.int64(37)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`<0.15592763954792138,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Clump Thickness']",
19,9.0,Bare Nuclei,1.4157702133867105,4,5,"{'<': np.int64(38), '>=': np.int64(39)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`>=0.15592763954792138,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Bare Nuclei']",
20,10.0,Single Epithelial Cell Size,0.3911365860212321,2,5,"{'<': np.int64(40), '>=': np.int64(41)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`<0.8672903227569924 & `Clump Thickness`<0.5436034150550438,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Clump Thickness', 'Single Epithelial Cell Size']",
21,10.0,Uniformity of Cell Size,1.073108027460374,4,5,"{'<': np.int64(42), '>=': np.int64(43)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`<0.8672903227569924 & `Clump Thickness`>=0.5436034150550438,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Clump Thickness', 'Uniformity of Cell Size']",
36,18.0,Bare Nuclei,-0.3965093120203767,2,6,"{'<': np.int64(72), '>=': np.int64(73)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`<0.15592763954792138 & `Clump Thickness`<-0.19606104563097196,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Clump Thickness', 'Bare Nuclei']",
37,18.0,Uniformity of Cell Shape,-0.2603477335452512,2,6,"{'<': np.int64(74), '>=': np.int64(75)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`<0.15592763954792138 & `Clump Thickness`>=-0.19606104563097196,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Clump Thickness', 'Uniformity of Cell Shape']",
40,20.0,Uniformity of Cell Size,0.603040054561971,4,6,"{'<': np.int64(80), '>=': np.int64(81)}",False,False,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`<0.8672903227569924 & `Clump Thickness`<0.5436034150550438 & `Single Epithelial Cell Size`<0.3911365860212321,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Clump Thickness', 'Single Epithelial Cell Size', 'Uniformity of Cell Size']",
41,20.0,Marginal Adhesion,-0.0410934615804159,2,6,"{'<': np.int64(82), '>=': np.int64(83)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`>=-0.24324874790069503 & `Bare Nuclei`<0.8672903227569924 & `Clump Thickness`<0.5436034150550438 & `Single Epithelial Cell Size`>=0.3911365860212321,"['Mitoses', 'Normal Nucleoli', 'Bare Nuclei', 'Clump Thickness', 'Single Epithelial Cell Size', 'Marginal Adhesion']",
74,37.0,Uniformity of Cell Size,-0.4662354442289017,2,7,"{'<': np.int64(140), '>=': np.int64(141)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`<0.15592763954792138 & `Clump Thickness`>=-0.19606104563097196 & `Uniformity of Cell Shape`<-0.2603477335452512,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Clump Thickness', 'Uniformity of Cell Shape', 'Uniformity of Cell Size']",
75,37.0,Uniformity of Cell Size,0.8199945035920031,4,7,"{'<': np.int64(142), '>=': np.int64(143)}",False,True,`Mitoses`<-7.640244470538712e-17 & `Normal Nucleoli`<-0.24324874790069503 & `Single Epithelial Cell Size`>=-0.42328048071610863 & `Bland Chromatin`<0.15592763954792138 & `Clump Thickness`>=-0.19606104563097196 & `Uniformity of Cell Shape`>=-0.2603477335452512,"['Mitoses', 'Normal Nucleoli', 'Single Epithelial Cell Size', 'Bland Chromatin', 'Clump Thickness', 'Uniformity of Cell Shape', 'Uniformity of Cell Size']",
