nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,safety,,unacc,1,"{'low': np.int64(2), 'med': np.int64(3), 'high': np.int64(4)}",True,False,,['safety'],
2,1.0,maint,,unacc,2,"{'high': np.int64(5), 'low': np.int64(6), 'med': np.int64(7), 'vhigh': np.int64(8)}",False,True,`safety`=='low',"['safety', 'maint']",
3,1.0,persons,,unacc,2,"{'more': np.int64(9), '2': np.int64(10), '4': np.int64(11)}",False,False,`safety`=='med',"['safety', 'persons']",
4,1.0,persons,,unacc,2,"{'2': np.int64(12), 'more': np.int64(13), '4': np.int64(14)}",False,False,`safety`=='high',"['safety', 'persons']",
9,3.0,buying,,acc,3,"{'low': np.int64(31), 'vhigh': np.int64(32), 'high': np.int64(33), 'med': np.int64(34)}",False,False,`safety`=='med' & `persons`=='more',"['safety', 'persons', 'buying']",
10,3.0,buying,,unacc,3,"{'med': np.int64(35), 'low': np.int64(36), 'vhigh': np.int64(37), 'high': np.int64(38)}",False,True,`safety`=='med' & `persons`=='2',"['safety', 'persons', 'buying']",
11,3.0,lug_boot,,acc,3,"{'small': np.int64(39), 'med': np.int64(40), 'big': np.int64(41)}",False,False,`safety`=='med' & `persons`=='4',"['safety', 'persons', 'lug_boot']",
12,4.0,buying,,unacc,3,"{'low': np.int64(42), 'high': np.int64(43), 'med': np.int64(44), 'vhigh': np.int64(45)}",False,True,`safety`=='high' & `persons`=='2',"['safety', 'persons', 'buying']",
13,4.0,buying,,acc,3,"{'vhigh': np.int64(46), 'high': np.int64(47), 'low': np.int64(48), 'med': np.int64(49)}",False,False,`safety`=='high' & `persons`=='more',"['safety', 'persons', 'buying']",
14,4.0,buying,,acc,3,"{'vhigh': np.int64(50), 'high': np.int64(51), 'med': np.int64(52), 'low': np.int64(53)}",False,False,`safety`=='high' & `persons`=='4',"['safety', 'persons', 'buying']",
31,9.0,lug_boot,,acc,4,"{'small': np.int64(102), 'med': np.int64(103), 'big': np.int64(104)}",False,True,`safety`=='med' & `persons`=='more' & `buying`=='low',"['safety', 'persons', 'buying', 'lug_boot']",
32,9.0,maint,,unacc,4,"{'vhigh': np.int64(105), 'low': np.int64(106), 'med': np.int64(107), 'high': np.int64(108)}",False,False,`safety`=='med' & `persons`=='more' & `buying`=='vhigh',"['safety', 'persons', 'buying', 'maint']",
33,9.0,lug_boot,,unacc,4,"{'small': np.int64(109), 'med': np.int64(110), 'big': np.int64(111)}",False,False,`safety`=='med' & `persons`=='more' & `buying`=='high',"['safety', 'persons', 'buying', 'lug_boot']",
34,9.0,maint,,acc,4,"{'vhigh': np.int64(112), 'med': np.int64(113), 'high': np.int64(114), 'low': np.int64(115)}",False,False,`safety`=='med' & `persons`=='more' & `buying`=='med',"['safety', 'persons', 'buying', 'maint']",
