nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,month,,1.076711985837975,1,"{np.int64(12): np.int64(2), np.int64(8): np.int64(3), np.int64(9): np.int64(4), np.int64(7): np.int64(5), np.int64(3): np.int64(6), np.int64(4): np.int64(7), np.int64(6): np.int64(8), np.int64(2): np.int64(9), np.int64(10): np.int64(10), np.int64(5): np.int64(11)}",True,False,,['month'],
2,1.0,day,,2.298656257001386,2,"{np.int64(1): np.int64(12), np.int64(3): np.int64(13), np.int64(4): np.int64(14), np.int64(7): np.int64(15)}",False,True,`month`==12,"['month', 'day']",
3,1.0,day,,1.071366637111125,2,"{np.int64(7): np.int64(16), np.int64(6): np.int64(17), np.int64(1): np.int64(18), np.int64(3): np.int64(19), np.int64(4): np.int64(20), np.int64(2): np.int64(21), np.int64(5): np.int64(22)}",False,False,`month`==8,"['month', 'day']",
4,1.0,RH,-0.0170583468824364,1.2310057564868264,2,"{'<': np.int64(23), '>=': np.int64(24)}",False,False,`month`==9,"['month', 'RH']",
5,1.0,day,,1.0576027859759225,2,"{np.int64(2): np.int64(25), np.int64(6): np.int64(26), np.int64(3): np.int64(27), np.int64(7): np.int64(28), np.int64(5): np.int64(29), np.int64(4): np.int64(30)}",False,False,`month`==7,"['month', 'day']",
6,1.0,day,,0.7106759918465609,2,"{np.int64(6): np.int64(31), np.int64(5): np.int64(32), np.int64(1): np.int64(33), np.int64(2): np.int64(34), np.int64(7): np.int64(35), np.int64(4): np.int64(36), np.int64(3): np.int64(37)}",False,False,`month`==3,"['month', 'day']",
7,1.0,wind,1.0590516323966002,1.8309888821777,2,"{'<': np.int64(38), '>=': np.int64(39)}",False,False,`month`==4,"['month', 'wind']",
8,1.0,day,,0.797952756815597,2,"{np.int64(1): np.int64(40), np.int64(5): np.int64(41), np.int64(7): np.int64(42), np.int64(6): np.int64(43), np.int64(3): np.int64(44)}",False,True,`month`==6,"['month', 'day']",
9,1.0,Y,0.0398808585817857,0.0,2,"{'<': np.int64(45), '>=': np.int64(46)}",False,True,`month`==2,"['month', 'Y']",
10,1.0,day,,0.3725057080232524,2,"{np.int64(2): np.int64(47), np.int64(1): np.int64(48), np.int64(6): np.int64(49), np.int64(3): np.int64(50), np.int64(7): np.int64(51)}",False,True,`month`==10,"['month', 'day']",
11,1.0,Y,-0.2102808907039633,1.8378971072826404,2,"{'<': np.int64(52), '>=': np.int64(53)}",False,True,`month`==5,"['month', 'Y']",
16,3.0,DC,0.3514299153982608,0.9208983320798916,3,"{'<': np.int64(56), '>=': np.int64(57)}",False,False,`month`==8 & `day`==7,"['month', 'day', 'DC']",
