nodeNum,parentNodeNum,splitFeature,splitBoundary,predictedValue,depth,childNodeDirectory,isRoot,isLeaf,fullCondition,used_features,childNodeDictionary
1,,CHMIN,6.344131569286607e-17,106.22619047619048,1,"{'<': np.int64(2), '>=': np.int64(3)}",True,False,,['CHMIN'],
2,1.0,CACH,-0.39069719627896,40.892857142857146,2,"{'<': np.int64(4), '>=': np.int64(5)}",False,False,`CHMIN`<6.344131569286608e-17,"['CHMIN', 'CACH']",
3,1.0,MMAX,0.755157378056251,236.89285714285717,2,"{'<': np.int64(6), '>=': np.int64(7)}",False,False,`CHMIN`>=6.344131569286608e-17,"['CHMIN', 'MMAX']",
4,2.0,CHMAX,-0.4105011741432128,26.951219512195124,3,"{'<': np.int64(8), '>=': np.int64(9)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896,"['CHMIN', 'CACH', 'CHMAX']",
5,2.0,MMAX,0.1734630185956434,79.0,3,"{'<': np.int64(10), '>=': np.int64(11)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896,"['CHMIN', 'CACH', 'MMAX']",
6,3.0,CACH,0.1798575146618899,93.4,3,"{'<': np.int64(12), '>=': np.int64(13)}",False,False,`CHMIN`>=6.344131569286608e-17 & `MMAX`<0.755157378056251,"['CHMIN', 'MMAX', 'CACH']",
7,3.0,CHMAX,1.2397428868896028,402.46153846153845,3,"{'<': np.int64(14), '>=': np.int64(15)}",False,False,`CHMIN`>=6.344131569286608e-17 & `MMAX`>=0.755157378056251,"['CHMIN', 'MMAX', 'CHMAX']",
8,4.0,MMAX,-0.6793013262951577,21.782608695652176,4,"{'<': np.int64(16), '>=': np.int64(17)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`<-0.41050117414321285,"['CHMIN', 'CACH', 'CHMAX', 'MMAX']",
9,4.0,MMAX,-0.4512456310956141,33.55555555555556,4,"{'<': np.int64(18), '>=': np.int64(19)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`>=-0.41050117414321285,"['CHMIN', 'CACH', 'CHMAX', 'MMAX']",
10,5.0,MYCT,-0.2258552923203676,57.11111111111112,4,"{'<': np.int64(20), '>=': np.int64(21)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`<0.17346301859564348,"['CHMIN', 'CACH', 'MMAX', 'MYCT']",
11,5.0,MYCT,-0.4780005501113352,111.83333333333331,4,"{'<': np.int64(22), '>=': np.int64(23)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`>=0.17346301859564348,"['CHMIN', 'CACH', 'MMAX', 'MYCT']",
12,6.0,MYCT,-0.3404997548555414,53.77777777777778,4,"{'<': np.int64(24), '>=': np.int64(25)}",False,False,`CHMIN`>=6.344131569286608e-17 & `MMAX`<0.755157378056251 & `CACH`<0.1798575146618899,"['CHMIN', 'MMAX', 'CACH', 'MYCT']",
13,6.0,MYCT,-0.5770446585673555,152.83333333333334,4,"{'<': np.int64(26), '>=': np.int64(27)}",False,False,`CHMIN`>=6.344131569286608e-17 & `MMAX`<0.755157378056251 & `CACH`>=0.1798575146618899,"['CHMIN', 'MMAX', 'CACH', 'MYCT']",
14,7.0,CACH,0.9887737282553208,286.0,4,"{'<': np.int64(28), '>=': np.int64(29)}",False,False,`CHMIN`>=6.344131569286608e-17 & `MMAX`>=0.755157378056251 & `CHMAX`<1.2397428868896028,"['CHMIN', 'MMAX', 'CHMAX', 'CACH']",
15,7.0,MMIN,1.212564212910264,790.6666666666666,4,"{'<': np.int64(30), '>=': np.int64(31)}",False,True,`CHMIN`>=6.344131569286608e-17 & `MMAX`>=0.755157378056251 & `CHMAX`>=1.2397428868896028,"['CHMIN', 'MMAX', 'CHMAX', 'MMIN']",
16,8.0,MYCT,1.1254411586056343,18.857142857142858,5,"{'<': np.int64(32), '>=': np.int64(33)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`<-0.41050117414321285 & `MMAX`<-0.6793013262951577,"['CHMIN', 'CACH', 'CHMAX', 'MMAX', 'MYCT']",
17,8.0,MYCT,0.8607275092392694,26.33333333333333,5,"{'<': np.int64(34), '>=': np.int64(35)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`<-0.41050117414321285 & `MMAX`>=-0.6793013262951577,"['CHMIN', 'CACH', 'CHMAX', 'MMAX', 'MYCT']",
18,9.0,MYCT,-0.1887591015158692,30.08333333333333,5,"{'<': np.int64(36), '>=': np.int64(37)}",False,True,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`>=-0.41050117414321285 & `MMAX`<-0.4512456310956141,"['CHMIN', 'CACH', 'CHMAX', 'MMAX', 'MYCT']",
19,9.0,MMIN,-0.1644086060357069,40.5,5,"{'<': np.int64(38), '>=': np.int64(39)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`<-0.39069719627896 & `CHMAX`>=-0.41050117414321285 & `MMAX`>=-0.4512456310956141,"['CHMIN', 'CACH', 'CHMAX', 'MMAX', 'MMIN']",
20,10.0,MMIN,-0.3532320350488505,52.66666666666666,5,"{'<': np.int64(40), '>=': np.int64(41)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`<0.17346301859564348 & `MYCT`<-0.22585529232036766,"['CHMIN', 'CACH', 'MMAX', 'MYCT', 'MMIN']",
21,10.0,CHMAX,-0.4230020728852972,66.0,5,"{'<': np.int64(42), '>=': np.int64(43)}",False,True,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`<0.17346301859564348 & `MYCT`>=-0.22585529232036766,"['CHMIN', 'CACH', 'MMAX', 'MYCT', 'CHMAX']",
22,11.0,CHMAX,-0.3338652296808695,99.0,5,"{'<': np.int64(44), '>=': np.int64(45)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`>=0.17346301859564348 & `MYCT`<-0.4780005501113352,"['CHMIN', 'CACH', 'MMAX', 'MYCT', 'CHMAX']",
23,11.0,CHMAX,0.6354979401672809,137.5,5,"{'<': np.int64(46), '>=': np.int64(47)}",False,False,`CHMIN`<6.344131569286608e-17 & `CACH`>=-0.39069719627896 & `MMAX`>=0.17346301859564348 & `MYCT`>=-0.4780005501113352,"['CHMIN', 'CACH', 'MMAX', 'MYCT', 'CHMAX']",
