buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,tuning_run,k,exponent,standard_dev_mult,estimate
vhigh,high,5more,more,med,high,unacc,212,6,6,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,6,12,1,1,acc
vhigh,high,5more,more,med,high,unacc,212,6,18,1,1,unacc
vhigh,high,5more,more,med,high,unacc,212,6,24,1,1,acc
vhigh,high,5more,more,med,high,unacc,212,6,6,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,6,12,2,1,unacc
vhigh,high,5more,more,med,high,unacc,212,6,18,2,1,acc
vhigh,high,5more,more,med,high,unacc,212,6,24,2,1,acc
high,low,4,2,med,med,unacc,814,6,6,1,1,unacc
high,low,4,2,med,med,unacc,814,6,12,1,1,unacc
high,low,4,2,med,med,unacc,814,6,18,1,1,unacc
high,low,4,2,med,med,unacc,814,6,24,1,1,unacc
high,low,4,2,med,med,unacc,814,6,6,2,1,unacc
high,low,4,2,med,med,unacc,814,6,12,2,1,unacc
high,low,4,2,med,med,unacc,814,6,18,2,1,unacc
high,low,4,2,med,med,unacc,814,6,24,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,6,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,12,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,18,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,24,1,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,6,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,12,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,18,2,1,unacc
vhigh,low,2,2,big,high,unacc,332,6,24,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,6,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,12,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,18,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,24,1,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,6,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,12,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,18,2,1,unacc
vhigh,vhigh,3,2,big,high,unacc,35,6,24,2,1,unacc
high,med,4,2,small,high,unacc,704,6,6,1,1,unacc
high,med,4,2,small,high,unacc,704,6,12,1,1,unacc
high,med,4,2,small,high,unacc,704,6,18,1,1,unacc
high,med,4,2,small,high,unacc,704,6,24,1,1,unacc
high,med,4,2,small,high,unacc,704,6,6,2,1,unacc
high,med,4,2,small,high,unacc,704,6,12,2,1,unacc
high,med,4,2,small,high,unacc,704,6,18,2,1,unacc
high,med,4,2,small,high,unacc,704,6,24,2,1,unacc
vhigh,low,3,2,big,med,unacc,358,6,6,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,6,12,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,6,18,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,6,24,1,1,unacc
vhigh,low,3,2,big,med,unacc,358,6,6,2,1,unacc
