buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,estimate,portion_to_leave,error_threshold
vhigh,high,5more,more,med,high,unacc,212,unacc,0.25,0.0001
high,low,4,2,med,med,unacc,814,unacc,0.25,0.0001
vhigh,low,2,2,big,high,unacc,332,unacc,0.25,0.0001
vhigh,vhigh,3,2,big,high,unacc,35,unacc,0.25,0.0001
high,med,4,2,small,high,unacc,704,unacc,0.25,0.0001
vhigh,low,3,2,big,med,unacc,358,unacc,0.25,0.0001
vhigh,high,5more,2,small,med,unacc,190,unacc,0.25,0.0001
vhigh,low,3,4,big,low,unacc,366,unacc,0.25,0.0001
med,med,2,2,small,high,unacc,1082,unacc,0.25,0.0001
low,vhigh,3,4,med,med,unacc,1336,acc,0.25,0.0001
low,vhigh,2,2,big,med,unacc,1303,unacc,0.25,0.0001
vhigh,low,3,2,small,low,unacc,351,unacc,0.25,0.0001
vhigh,high,4,4,med,med,unacc,175,unacc,0.25,0.0001
high,high,5more,4,big,low,unacc,636,unacc,0.25,0.0001
med,vhigh,3,more,small,low,unacc,909,unacc,0.25,0.0001
low,vhigh,5more,2,med,med,unacc,1381,unacc,0.25,0.0001
low,med,4,2,small,high,unacc,1568,unacc,0.25,0.0001
vhigh,vhigh,4,more,med,high,unacc,77,unacc,0.25,0.0001
high,low,5more,2,small,high,unacc,839,unacc,0.25,0.0001
high,vhigh,2,more,med,med,unacc,454,unacc,0.25,0.0001
high,vhigh,5more,4,small,low,unacc,522,unacc,0.25,0.0001
high,vhigh,5more,more,small,high,unacc,533,unacc,0.25,0.0001
med,vhigh,3,2,small,low,unacc,891,unacc,0.25,0.0001
high,high,2,2,small,high,unacc,542,unacc,0.25,0.0001
high,vhigh,4,2,med,med,unacc,490,unacc,0.25,0.0001
vhigh,vhigh,4,4,small,high,unacc,65,unacc,0.25,0.0001
low,low,5more,2,med,high,unacc,1706,unacc,0.25,0.0001
high,low,2,2,med,high,unacc,761,unacc,0.25,0.0001
high,vhigh,4,4,big,med,unacc,502,unacc,0.25,0.0001
high,high,3,4,small,med,unacc,577,unacc,0.25,0.0001
med,low,4,2,med,high,unacc,1247,unacc,0.25,0.0001
med,vhigh,5more,more,small,med,unacc,964,unacc,0.25,0.0001
med,high,3,2,med,med,unacc,1003,unacc,0.25,0.0001
vhigh,high,4,4,big,med,unacc,178,unacc,0.25,0.0001
vhigh,med,3,2,med,low,unacc,246,unacc,0.25,0.0001
low,high,3,more,med,low,unacc,1452,unacc,0.25,0.0001
low,med,5more,more,big,low,unacc,1617,unacc,0.25,0.0001
low,high,2,4,big,low,unacc,1419,unacc,0.25,0.0001
vhigh,high,4,2,med,med,unacc,166,unacc,0.25,0.0001
vhigh,high,3,more,big,med,unacc,160,unacc,0.25,0.0001
med,high,3,2,small,low,unacc,999,unacc,0.25,0.0001
med,vhigh,2,2,med,low,unacc,867,unacc,0.25,0.0001
low,low,2,4,med,low,unacc,1632,unacc,0.25,0.0001
low,low,4,4,med,low,unacc,1686,unacc,0.25,0.0001
high,low,2,2,med,low,unacc,759,unacc,0.25,0.0001
vhigh,low,3,2,small,med,unacc,352,unacc,0.25,0.0001
med,med,3,4,med,low,unacc,1119,unacc,0.25,0.0001
vhigh,low,3,2,small,high,unacc,353,unacc,0.25,0.0001
high,high,3,2,med,med,unacc,571,unacc,0.25,0.0001
vhigh,low,4,2,med,high,unacc,383,unacc,0.25,0.0001
high,med,5more,2,small,high,unacc,731,unacc,0.25,0.0001
low,vhigh,3,2,big,low,unacc,1329,unacc,0.25,0.0001
high,med,2,2,small,low,unacc,648,unacc,0.25,0.0001
low,low,2,2,big,med,unacc,1627,unacc,0.25,0.0001
vhigh,high,4,4,small,low,unacc,171,unacc,0.25,0.0001
high,high,2,more,big,low,unacc,564,unacc,0.25,0.0001
med,low,4,2,small,low,unacc,1242,unacc,0.25,0.0001
high,vhigh,5more,2,med,high,unacc,518,unacc,0.25,0.0001
high,vhigh,3,2,med,low,unacc,462,unacc,0.25,0.0001
med,high,3,2,small,med,unacc,1000,unacc,0.25,0.0001
vhigh,vhigh,4,2,small,med,unacc,55,unacc,0.25,0.0001
high,vhigh,4,4,med,med,unacc,499,unacc,0.25,0.0001
high,vhigh,5more,2,small,med,unacc,514,unacc,0.25,0.0001
high,low,3,more,small,med,unacc,802,unacc,0.25,0.0001
vhigh,low,3,2,big,high,unacc,359,unacc,0.25,0.0001
med,high,2,2,big,high,unacc,980,unacc,0.25,0.0001
high,vhigh,5more,more,big,high,unacc,539,unacc,0.25,0.0001
vhigh,low,3,4,small,med,unacc,361,unacc,0.25,0.0001
high,low,2,2,med,med,unacc,760,unacc,0.25,0.0001
med,low,3,2,med,low,unacc,1218,unacc,0.25,0.0001
vhigh,low,5more,2,med,low,unacc,408,unacc,0.25,0.0001
vhigh,vhigh,2,4,med,med,unacc,13,unacc,0.25,0.0001
med,med,3,2,med,med,unacc,1111,unacc,0.25,0.0001
med,vhigh,3,4,med,med,unacc,904,acc,0.25,0.0001
vhigh,vhigh,5more,2,small,high,unacc,83,unacc,0.25,0.0001
med,low,3,more,med,low,unacc,1236,unacc,0.25,0.0001
high,med,5more,more,big,low,unacc,753,unacc,0.25,0.0001
med,vhigh,5more,more,big,low,unacc,969,unacc,0.25,0.0001
low,med,2,4,small,low,unacc,1521,unacc,0.25,0.0001
vhigh,vhigh,4,4,big,low,unacc,69,unacc,0.25,0.0001
low,low,2,more,small,med,unacc,1639,acc,0.25,0.0001
med,vhigh,2,2,big,high,unacc,872,unacc,0.25,0.0001
med,low,5more,more,big,low,unacc,1293,unacc,0.25,0.0001
med,low,3,more,small,low,unacc,1233,unacc,0.25,0.0001
low,high,4,2,big,low,unacc,1464,unacc,0.25,0.0001
med,med,5more,4,med,low,unacc,1173,unacc,0.25,0.0001
high,low,5more,2,small,low,unacc,837,unacc,0.25,0.0001
high,high,4,more,big,low,unacc,618,unacc,0.25,0.0001
vhigh,vhigh,4,2,med,low,unacc,57,unacc,0.25,0.0001
high,vhigh,2,2,big,med,unacc,439,unacc,0.25,0.0001
high,low,2,4,med,low,unacc,768,unacc,0.25,0.0001
high,med,3,more,small,med,unacc,694,unacc,0.25,0.0001
high,vhigh,3,more,big,high,unacc,485,unacc,0.25,0.0001
vhigh,high,3,2,med,low,unacc,138,unacc,0.25,0.0001
low,low,4,2,big,high,unacc,1682,unacc,0.25,0.0001
vhigh,low,4,2,med,low,unacc,381,unacc,0.25,0.0001
med,high,4,4,small,med,unacc,1036,acc,0.25,0.0001
high,med,2,more,med,med,unacc,670,acc,0.25,0.0001
high,high,2,2,big,high,unacc,548,unacc,0.25,0.0001
med,med,4,4,med,low,unacc,1146,unacc,0.25,0.0001
low,vhigh,2,2,big,high,unacc,1304,unacc,0.25,0.0001
med,high,5more,4,small,med,unacc,1063,acc,0.25,0.0001
