Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum,Sex_I,Sex_M
0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10,1404,False,False
0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,4097,False,True
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,231,False,True
0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,2168,False,True
0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13,3949,False,False
0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,176,True,False
0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10,1860,True,False
0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,128,False,True
0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,2128,False,True
0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6,944,False,False
0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10,1804,False,True
0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11,2967,False,True
0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17,882,False,True
0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,537,False,True
0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,2243,False,True
0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8,972,False,False
0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11,1930,False,True
0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6,919,True,False
0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9,3721,False,True
0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7,3087,True,False
0.59,0.46,0.125,0.755,0.334,0.15,0.238,9,2914,True,False
0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,191,False,True
0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,2246,False,False
0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10,3035,True,False
0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7,2871,True,False
0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,709,True,False
0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,237,True,False
0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12,861,False,False
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,247,True,False
0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10,2801,False,True
0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7,4066,True,False
0.52,0.385,0.115,0.581,0.2555,0.156,0.143,10,1866,True,False
0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,3489,False,False
0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10,1713,False,True
0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,1185,False,False
0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,3461,False,False
0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9,3805,False,True
0.7,0.55,0.2,1.523,0.693,0.306,0.4405,13,2705,False,True
0.625,0.43,0.175,1.411,0.572,0.297,0.395,12,2407,True,False
0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13,3402,False,True
0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8,1561,True,False
0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,3566,False,True
0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,1213,True,False
0.545,0.42,0.125,0.717,0.358,0.112,0.22,8,1610,True,False
0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9,1304,False,True
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11,1381,False,False
0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18,3401,False,True
0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,1131,False,True
0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,2996,False,False
0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5,2628,True,False
0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11,3046,False,True
0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11,2930,False,False
0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18,426,False,False
0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7,1290,True,False
0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,111,False,True
0.56,0.46,0.18,0.97,0.342,0.196,0.355,12,3891,False,False
0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12,3889,False,True
0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13,1979,False,True
0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6,1836,True,False
0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8,3539,True,False
0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11,1749,False,True
0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,244,True,False
0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7,2575,False,True
0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6,3430,True,False
0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7,3483,True,False
0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6,1445,True,False
0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20,756,False,True
0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,1069,True,False
0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12,2422,False,False
0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14,2460,False,True
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,94,False,True
0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7,2646,True,False
0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,3188,False,True
0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8,4043,False,False
0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8,3110,True,False
0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,8,2007,True,False
0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,9,4105,False,False
0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11,2783,False,True
0.54,0.425,0.12,0.817,0.2945,0.153,0.195,10,3883,False,True
0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,311,False,True
0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,223,False,False
0.59,0.45,0.16,0.998,0.445,0.214,0.301,9,4045,False,True
0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7,3384,False,False
0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12,2861,False,False
0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6,907,True,False
0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20,3359,True,False
0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8,975,False,False
0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10,3909,False,False
0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,1237,True,False
0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7,1431,True,False
0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,118,False,False
0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,874,False,False
0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,591,False,False
0.61,0.475,0.175,1.024,0.409,0.261,0.322,9,2994,False,True
0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10,1796,False,True
0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10,1859,True,False
0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,3575,False,True
0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,11,3677,False,True
0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,114,False,False
0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9,4049,False,True
0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11,2686,False,True
0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13,3171,False,True
0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8,1695,False,False
0.4,0.315,0.09,0.3245,0.151,0.073,0.088,8,2872,True,False
0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11,3614,False,True
0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9,1612,True,False
0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7,2739,True,False
0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,9,2749,True,False
0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,1114,True,False
0.63,0.495,0.16,1.093,0.497,0.221,0.315,12,1388,False,True
0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,2311,False,True
0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7,2823,True,False
0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9,2830,False,False
0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10,1500,False,False
0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9,2921,False,False
0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,448,False,True
0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9,3051,False,True
0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,2360,False,False
0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,1020,False,True
