buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
high,med,5more,more,small,med,unacc,748
vhigh,vhigh,2,2,med,high,unacc,5
med,med,5more,2,small,high,unacc,1163
med,high,2,4,med,med,unacc,985
high,vhigh,2,4,small,med,unacc,442
vhigh,med,5more,more,big,low,unacc,321
high,low,2,2,big,low,unacc,762
vhigh,low,4,4,small,med,unacc,388
med,low,3,more,big,low,unacc,1239
low,high,2,4,small,low,unacc,1413
vhigh,high,4,4,small,high,unacc,173
high,high,3,2,big,high,unacc,575
high,vhigh,4,2,big,low,unacc,492
med,high,2,more,big,low,unacc,996
med,med,4,2,big,low,unacc,1140
med,med,5more,4,big,low,unacc,1176
low,med,2,4,big,low,unacc,1527
low,low,3,2,med,high,unacc,1652
low,high,2,2,med,med,unacc,1408
high,high,2,2,med,high,unacc,545
vhigh,vhigh,5more,more,small,low,unacc,99
low,high,2,2,small,low,unacc,1404
low,low,4,2,small,high,unacc,1676
high,vhigh,2,2,med,high,unacc,437
vhigh,med,2,more,med,med,unacc,238
med,high,4,2,small,low,unacc,1026
low,vhigh,3,2,med,high,unacc,1328
low,high,4,2,big,med,unacc,1465
low,vhigh,5more,2,big,high,unacc,1385
high,med,4,more,small,med,unacc,721
low,high,3,2,med,low,unacc,1434
med,low,2,2,big,low,unacc,1194
low,vhigh,3,2,med,low,unacc,1326
vhigh,med,2,4,med,med,unacc,229
med,med,2,2,big,high,unacc,1088
low,med,3,more,small,low,unacc,1557
vhigh,high,5more,more,small,low,unacc,207
med,low,4,4,big,low,unacc,1257
med,low,2,2,small,low,unacc,1188
vhigh,vhigh,2,4,big,low,unacc,15
high,vhigh,3,more,big,low,unacc,483
med,vhigh,4,2,big,high,unacc,926
vhigh,med,4,2,small,high,unacc,272
low,low,3,2,med,med,unacc,1651
vhigh,low,5more,2,med,med,unacc,409
low,low,4,more,small,low,unacc,1692
vhigh,vhigh,3,more,med,high,unacc,50
vhigh,high,5more,2,big,low,unacc,195
high,low,2,4,small,med,unacc,766
med,high,3,4,small,med,unacc,1009
high,med,4,4,small,med,unacc,712
