buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
vhigh,high,5more,more,med,high,unacc,212
high,low,4,2,med,med,unacc,814
vhigh,low,2,2,big,high,unacc,332
vhigh,vhigh,3,2,big,high,unacc,35
high,med,4,2,small,high,unacc,704
vhigh,low,3,2,big,med,unacc,358
vhigh,high,5more,2,small,med,unacc,190
vhigh,low,3,4,big,low,unacc,366
med,med,2,2,small,high,unacc,1082
low,vhigh,3,4,med,med,unacc,1336
low,vhigh,2,2,big,med,unacc,1303
vhigh,low,3,2,small,low,unacc,351
vhigh,high,4,4,med,med,unacc,175
high,high,5more,4,big,low,unacc,636
med,vhigh,3,more,small,low,unacc,909
low,vhigh,5more,2,med,med,unacc,1381
low,med,4,2,small,high,unacc,1568
vhigh,vhigh,4,more,med,high,unacc,77
high,low,5more,2,small,high,unacc,839
high,vhigh,2,more,med,med,unacc,454
high,vhigh,5more,4,small,low,unacc,522
high,vhigh,5more,more,small,high,unacc,533
med,vhigh,3,2,small,low,unacc,891
high,high,2,2,small,high,unacc,542
high,vhigh,4,2,med,med,unacc,490
vhigh,vhigh,4,4,small,high,unacc,65
low,low,5more,2,med,high,unacc,1706
high,low,2,2,med,high,unacc,761
high,vhigh,4,4,big,med,unacc,502
high,high,3,4,small,med,unacc,577
med,low,4,2,med,high,unacc,1247
med,vhigh,5more,more,small,med,unacc,964
med,high,3,2,med,med,unacc,1003
vhigh,high,4,4,big,med,unacc,178
vhigh,med,3,2,med,low,unacc,246
low,high,3,more,med,low,unacc,1452
low,med,5more,more,big,low,unacc,1617
low,high,2,4,big,low,unacc,1419
vhigh,high,4,2,med,med,unacc,166
vhigh,high,3,more,big,med,unacc,160
med,high,3,2,small,low,unacc,999
med,vhigh,2,2,med,low,unacc,867
low,low,2,4,med,low,unacc,1632
low,low,4,4,med,low,unacc,1686
high,low,2,2,med,low,unacc,759
vhigh,low,3,2,small,med,unacc,352
med,med,3,4,med,low,unacc,1119
vhigh,low,3,2,small,high,unacc,353
high,high,3,2,med,med,unacc,571
vhigh,low,4,2,med,high,unacc,383
high,med,5more,2,small,high,unacc,731
low,vhigh,3,2,big,low,unacc,1329
high,med,2,2,small,low,unacc,648
low,low,2,2,big,med,unacc,1627
vhigh,high,4,4,small,low,unacc,171
high,high,2,more,big,low,unacc,564
med,low,4,2,small,low,unacc,1242
high,vhigh,5more,2,med,high,unacc,518
high,vhigh,3,2,med,low,unacc,462
med,high,3,2,small,med,unacc,1000
vhigh,vhigh,4,2,small,med,unacc,55
high,vhigh,4,4,med,med,unacc,499
high,vhigh,5more,2,small,med,unacc,514
high,low,3,more,small,med,unacc,802
vhigh,low,3,2,big,high,unacc,359
med,high,2,2,big,high,unacc,980
high,vhigh,5more,more,big,high,unacc,539
vhigh,low,3,4,small,med,unacc,361
high,low,2,2,med,med,unacc,760
med,low,3,2,med,low,unacc,1218
vhigh,low,5more,2,med,low,unacc,408
vhigh,vhigh,2,4,med,med,unacc,13
med,med,3,2,med,med,unacc,1111
med,vhigh,3,4,med,med,unacc,904
vhigh,vhigh,5more,2,small,high,unacc,83
med,low,3,more,med,low,unacc,1236
high,med,5more,more,big,low,unacc,753
med,vhigh,5more,more,big,low,unacc,969
low,med,2,4,small,low,unacc,1521
