X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
3,4,9,5,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,123
8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0,297
7,4,8,6,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,3.295836866004329,210
8,6,10,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,2.6878474937846906,202
1,2,8,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,78
3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,3.607669398688393,220
1,2,8,6,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0.0,397
4,4,9,7,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,3.902982260775997,224
8,6,8,7,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0.0,510
6,3,2,5,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0,0.0,409
4,4,9,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,3.4170707308184456,215
6,5,8,2,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.15700374880966478,265
6,5,9,2,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,3.0459499897146083,364
6,5,3,6,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,88
7,5,9,6,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,10
8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,2.0744289998562917,183
8,5,8,3,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.2151113796169455,250
4,3,9,1,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0,334
2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,66
8,6,8,7,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0.0,482
