X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.5822156198526637,264
1,3,9,7,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,4.27332721775054,391
6,4,8,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.0647107369924282,160
3,5,10,3,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,127
1,2,8,5,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,77
3,4,3,1,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,117
4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,108
4,4,8,2,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,1.6863989535702288,268
1,4,8,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,1.7101878155342434,174
7,5,10,1,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,3.9193957597575593,225
6,5,9,6,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,6.995619625423205,237
4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,39
5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0,346
3,4,9,5,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0,347
6,3,9,2,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,34
7,4,8,7,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,2.498151876538021,513
8,6,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,1.8293763327993617,178
5,4,3,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.6678293725756554,145
6,3,3,6,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.0784095813505903,161
8,6,8,7,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,92
4,3,8,3,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,3.923753928303845,503
6,5,9,6,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,3.6975913947159578,374
7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.9895411936137477,158
7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,23
8,5,8,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.5187937934151675,249
8,6,8,1,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0.0,375
3,4,3,5,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,110
9,9,2,5,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,75
4,4,8,3,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,0.0,489
2,2,8,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0,266
8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,460
6,3,7,2,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,2.081938421878423,415
4,3,9,5,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,1.597365331199831,360
