Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,378
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,233
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,65
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y,228
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,167
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,28
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,15
republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,295
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,357
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,61
republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,313
republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y,207
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,56
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,211
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,135
republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?,400
republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?,281
republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,231
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,158
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,330
republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,223
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,84
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,82
republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,229
republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,120
republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,302
republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,363
republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,340
republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,427
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,369
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,136
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,356
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,133
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,405
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,57
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,107
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,87
republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,18
republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,204
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,253
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,416
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,163
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y,257
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,308
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,251
republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n,403
republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,349
republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,14
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,125
republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?,335
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,55
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,58
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,235
republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,314
republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?,191
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,230
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,156
republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,274
republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,248
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?,190
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,195
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,279
republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,224
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,310
republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,123
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y,141
republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,296
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,379
republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,10
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,214
republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,267
republican,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,0
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,8
republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,66
