Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,327
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,53
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37
republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,377
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,303
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,225
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142
