MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
105,2000,4000,8,3,8,22,183
320,512,2000,4,1,3,69,25
115,2000,8000,16,1,3,50,138
75,2000,16000,64,1,38,144,64
105,1000,4000,0,3,24,32,68
800,256,8000,0,1,4,12,57
800,768,2000,0,0,0,20,124
220,1000,8000,16,1,2,71,56
140,2000,4000,8,1,20,22,92
200,1000,4000,0,1,4,30,171
105,2000,4000,8,3,19,32,69
800,256,8000,0,1,4,20,59
110,1000,4000,16,1,2,26,54
25,1310,2620,131,12,24,274,30
29,8000,16000,32,8,16,132,4
38,4000,16000,128,16,32,212,169
50,1000,4000,8,3,5,26,39
180,262,4000,0,1,3,18,202
350,64,64,0,1,4,10,14
180,768,12000,6,1,31,84,79
140,2000,4000,0,3,6,29,85
26,8000,32000,64,8,32,318,5
30,16000,32000,256,16,24,510,156
300,1000,16000,8,2,112,38,82
143,3100,6200,0,5,20,33,21
110,1000,12000,16,1,2,60,55
800,256,8000,0,1,4,22,61
105,256,2000,0,3,10,26,67
72,4000,16000,64,8,16,143,148
140,1000,16000,16,1,3,138,52
50,2000,16000,24,1,6,70,128
700,256,2000,0,1,1,24,51
180,2000,8000,8,1,6,50,114
125,256,6000,256,16,128,198,0
300,768,4500,0,1,24,45,76
50,4000,32000,112,52,104,397,197
50,2000,16000,8,3,6,52,42
60,4000,16000,64,5,8,93,146
84,1000,2000,0,1,6,12,158
300,1000,4000,8,3,64,38,81
300,768,12000,6,6,24,50,75
56,4000,12000,0,1,8,42,163
105,2000,8000,16,4,14,58,185
480,1000,4000,0,0,0,45,208
400,4000,8000,0,1,1,32,106
300,192,768,6,6,24,36,78
38,8000,32000,64,8,24,326,155
75,4000,16000,16,1,6,66,143
75,2000,8000,8,3,24,62,70
150,512,4000,0,8,128,30,137
320,256,5000,4,1,6,27,29
23,16000,32000,64,16,32,367,6
50,2620,10480,30,12,24,63,33
50,2000,4000,0,3,6,27,125
400,512,3500,4,1,6,40,11
133,1000,12000,9,3,12,72,44
59,4000,12000,32,6,12,113,188
480,96,512,0,1,1,6,99
133,1000,8000,9,3,12,72,45
110,5000,5000,142,8,64,120,19
56,5240,20970,30,12,24,106,34
900,1000,4000,4,1,2,18,109
140,2000,32000,32,1,54,141,90
26,16000,32000,64,16,24,465,95
72,2000,8000,16,6,8,105,149
143,512,5000,0,7,32,28,17
92,2000,8000,4,1,6,50,142
1100,512,1500,0,1,1,7,102
50,2000,16000,24,6,16,54,135
92,2000,8000,32,1,6,60,141
60,2000,8000,65,1,8,92,12
38,4000,8000,32,16,32,51,165
92,2000,8000,32,1,6,62,140
26,8000,32000,0,8,24,277,97
225,2000,4000,8,3,6,40,112
300,768,3000,6,6,24,44,74
160,1000,8000,16,1,14,60,179
56,4000,8000,0,1,8,34,162
17,4000,16000,8,6,12,100,120
143,1000,2000,0,5,16,31,18
143,2300,6200,0,6,64,61,22
48,4000,24000,32,8,24,214,154
400,2000,4000,0,1,1,32,105
800,256,8000,0,1,4,16,60
50,2000,16000,8,3,5,40,41
50,2000,32000,24,6,26,114,194
57,4000,24000,64,12,16,237,94
56,4000,16000,0,1,8,46,164
160,1000,4000,8,1,14,38,178
98,1000,8000,32,2,8,46,205
75,2000,16000,128,1,38,259,65
225,2000,4000,8,3,6,34,113
100,1000,8000,24,2,6,26,132
75,2000,8000,64,1,38,144,63
700,384,8000,0,1,1,24,50
30,8000,64000,128,12,176,1150,199
900,512,1000,0,1,2,11,108
64,5240,20970,30,12,24,208,35
160,512,2000,2,3,8,32,177
250,512,4000,0,1,7,25,173
800,256,8000,0,1,4,14,58
50,2000,8000,8,3,6,45,126
240,512,2000,8,1,5,11,182
50,2000,16000,8,3,6,60,43
50,2000,32000,48,26,52,208,195
320,256,3000,4,1,3,27,27
56,2000,8000,0,1,8,24,161
25,2000,12000,16,3,5,66,119
38,4000,8000,32,16,32,116,166
900,2000,4000,0,3,6,37,111
810,1000,5000,0,1,1,20,47
75,3000,8000,8,3,48,64,71
200,2000,8000,64,1,5,41,172
52,4000,16000,32,4,12,130,186
900,1000,1000,0,1,2,11,107
50,4000,16000,64,5,10,111,147
50,2620,10480,30,12,24,32,32
320,128,6000,0,1,12,23,24
400,1000,3000,0,1,2,38,10
50,2000,16000,24,1,6,80,129
160,512,4000,2,1,5,30,176
116,2000,8000,32,5,28,70,193
180,512,4000,0,1,3,21,203
57,4000,16000,1,6,12,132,93
50,1000,4000,8,1,5,29,37
180,262,4000,0,1,3,12,200
110,3100,6200,0,6,64,76,23
50,8000,16000,48,1,10,136,130
17,4000,16000,32,6,12,133,121
185,2000,16000,16,1,6,76,115
140,2000,32000,32,1,20,134,88
50,4000,16000,65,1,8,138,13
125,512,1000,0,8,20,36,62
100,1000,8000,24,3,6,32,133
320,256,6000,0,1,6,33,26
50,2000,16000,24,6,16,65,136
60,4000,16000,32,1,6,86,144
240,512,1000,8,1,3,6,181
26,16000,32000,64,8,24,465,96
105,2000,6000,16,6,16,33,184
50,1000,8000,8,3,5,36,40
50,500,2000,8,1,4,20,36
50,2000,8000,8,1,5,71,38
330,1000,4000,0,3,6,22,84
300,384,12000,6,1,24,53,77
115,2000,4000,2,1,5,40,139
56,2000,6000,0,1,8,21,160
70,4000,12000,8,6,8,75,187
26,8000,24000,32,8,16,173,190
23,16000,64000,64,16,32,636,8
180,2000,16000,16,1,6,66,116
30,8000,64000,96,12,176,915,198
200,1000,8000,0,1,2,36,53
140,2000,4000,8,1,20,35,87
115,512,6000,16,1,6,45,101
1500,768,1000,0,0,0,12,122
26,8000,32000,128,24,32,405,192
56,1000,4000,0,1,6,17,159
40,8000,32000,64,8,24,277,151
125,2000,8000,0,2,14,52,206
29,8000,32000,32,8,32,220,2
25,2000,12000,8,1,4,49,118
90,256,1000,0,3,10,17,66
250,1000,16000,1,1,8,50,175
50,2000,32000,112,52,104,307,196
320,512,8000,4,1,5,40,48
143,1500,6300,0,5,32,30,20
23,32000,64000,128,32,64,1144,9
