MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
200,1000,2000,0,1,2,25,170
203,1000,2000,0,1,5,24,100
250,512,4000,0,4,7,50,174
59,8000,16000,64,12,24,188,189
25,1310,2620,131,12,24,368,31
140,2000,4000,0,4,8,40,86
180,512,4000,0,1,3,14,201
29,8000,32000,32,8,32,172,3
480,512,8000,32,0,0,67,207
38,8000,16000,64,4,8,100,167
26,8000,16000,0,8,16,185,98
160,2000,8000,32,1,13,109,180
1100,768,2000,0,1,1,13,103
112,1000,1000,0,1,4,8,157
900,1000,4000,8,1,2,22,110
38,16000,32000,128,16,32,510,153
200,512,16000,0,4,32,35,15
140,2000,8000,32,1,54,66,89
38,8000,24000,160,4,8,140,168
1500,768,2000,0,0,0,18,123
50,2000,16000,12,3,16,45,134
29,8000,32000,32,8,32,269,1
300,768,3000,0,6,24,36,73
330,1000,2000,0,1,2,16,83
810,512,512,8,1,1,18,46
100,1000,8000,0,2,6,16,131
60,2000,16000,64,5,8,74,145
35,8000,32000,64,8,24,370,152
26,8000,32000,64,12,16,248,191
225,1000,4000,2,3,6,24,117
124,1000,8000,0,1,8,42,204
600,768,2000,0,1,1,16,104
140,2000,32000,32,1,54,189,91
320,512,5000,4,1,5,77,28
167,524,2000,8,4,15,19,16
40,8000,16000,32,8,16,214,150
50,2000,8000,8,1,6,56,127
200,512,8000,8,1,8,62,49
175,256,2000,0,3,24,22,72
23,16000,32000,64,16,32,489,7
330,1000,3000,0,2,4,16,80
