Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Sex_I,Sex_M,sampleNum
0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12,True,False,532
0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,True,False,2116
0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11,False,False,3932
0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8,True,False,2565
0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11,False,True,1705
0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6,True,False,464
0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,False,False,279
0.415,0.315,0.125,0.388,0.068,0.09,0.125,12,False,True,2240
0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17,False,False,573
0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10,False,True,1349
0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10,True,False,1859
0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6,True,False,2867
0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8,False,False,741
0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11,False,True,3183
0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5,True,False,2457
0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11,False,False,3507
0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,False,False,3319
0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,False,True,1201
0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5,True,False,2869
0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,False,False,3215
0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7,True,False,1865
0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9,True,False,1320
0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,False,True,617
0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6,False,True,3979
0.41,0.31,0.11,0.315,0.124,0.082,0.095,9,True,False,2102
0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10,False,True,1911
0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9,False,True,3064
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9,False,True,288
0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10,False,True,3808
0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,True,False,3533
0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9,False,True,2828
0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10,False,False,1041
0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9,False,True,1674
0.52,0.4,0.125,0.559,0.254,0.139,0.149,8,False,True,1468
0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8,True,False,2976
0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,False,False,300
0.7,0.575,0.205,1.773,0.605,0.447,0.538,13,False,False,1977
0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8,True,False,1771
0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9,False,False,3620
0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,11,False,False,2773
0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,9,True,False,1616
0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,False,False,1195
0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,True,False,437
0.565,0.44,0.175,1.122,0.393,0.2,0.375,20,False,True,2471
0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13,False,False,698
0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13,False,False,2701
0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9,True,False,1867
0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,True,False,4030
0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,False,False,679
0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,True,False,239
0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8,True,False,1271
0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,False,False,677
0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,False,False,260
0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,False,False,184
