CAR,buying_low,buying_med,buying_vhigh,maint_low,maint_med,maint_vhigh,doors_3,doors_4,doors_5more,persons_4,persons_more,lug_boot_med,lug_boot_small,safety_low,safety_med,sampleNum
unacc,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,711
unacc,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,449
unacc,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,683
unacc,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,450
unacc,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,666
unacc,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,7
unacc,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,435
unacc,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,482
unacc,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,969
unacc,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,879
unacc,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,497
unacc,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1601
unacc,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,1362
unacc,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,360
unacc,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,143
unacc,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,1031
unacc,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,891
unacc,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,1045
unacc,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,758
unacc,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,106
unacc,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,899
unacc,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,207
unacc,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,1572
unacc,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,596
unacc,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,86
unacc,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,866
unacc,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,877
unacc,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,822
unacc,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,1476
unacc,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,1281
unacc,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,169
unacc,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,155
unacc,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,487
unacc,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,731
unacc,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1424
unacc,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,342
unacc,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,1163
unacc,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,495
unacc,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,642
unacc,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,1297
unacc,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,1548
unacc,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1409
unacc,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1517
unacc,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,467
unacc,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,307
unacc,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,234
unacc,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,209
unacc,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1621
unacc,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,237
unacc,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,303
unacc,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,1503
unacc,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,1168
unacc,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,1392
unacc,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,406
unacc,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,29
unacc,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,1602
unacc,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,761
unacc,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,235
unacc,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,1416
unacc,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,549
unacc,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,1382
unacc,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,264
unacc,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,1206
unacc,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,177
unacc,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,1161
unacc,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,849
unacc,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,164
unacc,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,957
unacc,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,1681
unacc,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,1056
unacc,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,8
unacc,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,1212
unacc,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,96
unacc,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,807
unacc,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1437
unacc,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1463
unacc,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,447
unacc,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,57
unacc,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,1656
unacc,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,1357
unacc,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,243
unacc,True,False,False,True,False,False,False,False,True,False,True,True,False,True,False,1722
unacc,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,399
unacc,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,212
unacc,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,150
unacc,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,196
unacc,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,1047
unacc,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,1139
unacc,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,976
unacc,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,484
unacc,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,74
unacc,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,312
unacc,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,135
unacc,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,1692
unacc,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,1
unacc,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,886
unacc,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,897
unacc,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,1396
unacc,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,1122
unacc,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,504
unacc,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,1578
unacc,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,569
unacc,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,70
unacc,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,543
unacc,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,407
unacc,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,378
unacc,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,717
unacc,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,852
unacc,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,973
unacc,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,796
unacc,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,708
unacc,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,1674
unacc,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,1030
unacc,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,856
unacc,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,920
unacc,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,1155
unacc,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,525
unacc,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,1587
unacc,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,535
unacc,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1595
unacc,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,409
unacc,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,154
unacc,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,302
