CAR,buying_low,buying_med,buying_vhigh,maint_low,maint_med,maint_vhigh,doors_3,doors_4,doors_5more,persons_4,persons_more,lug_boot_med,lug_boot_small,safety_low,safety_med,sampleNum
unacc,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,1038
unacc,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,937
unacc,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,304
unacc,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,562
unacc,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1301
unacc,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,1143
unacc,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,138
unacc,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,66
unacc,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,1328
unacc,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,1648
unacc,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,979
unacc,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,1152
unacc,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1303
unacc,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,493
unacc,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,1053
unacc,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,471
unacc,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1435
unacc,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,573
unacc,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,73
unacc,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,576
unacc,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,1547
unacc,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,802
unacc,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1628
unacc,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1655
unacc,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,85
unacc,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,1220
unacc,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,1221
unacc,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,926
unacc,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1082
unacc,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,1137
unacc,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,868
unacc,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,1423
unacc,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,1274
unacc,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,1209
unacc,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,1336
unacc,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,1138
unacc,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,1207
unacc,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1649
unacc,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,305
unacc,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,1309
unacc,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,1354
unacc,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,978
unacc,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,103
unacc,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1365
unacc,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,276
unacc,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,1272
unacc,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,1350
unacc,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,433
unacc,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,506
unacc,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,72
unacc,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,71
unacc,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,481
unacc,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,951
unacc,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,301
unacc,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,1386
unacc,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,251
unacc,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,92
unacc,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,864
unacc,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,1368
unacc,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,3
unacc,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,167
unacc,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,1338
unacc,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,363
unacc,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,669
unacc,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,165
unacc,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,694
unacc,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,83
unacc,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,56
unacc,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,574
unacc,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1408
unacc,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,874
unacc,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,1230
unacc,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,432
unacc,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,1290
unacc,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,6
unacc,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,523
unacc,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,510
unacc,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,324
unacc,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,413
unacc,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,1686
unacc,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,156
unacc,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,140
unacc,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1486
unacc,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1001
unacc,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,1270
unacc,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,1293
unacc,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,1224
unacc,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,225
unacc,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,408
unacc,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,315
unacc,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,947
unacc,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,331
unacc,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,1638
unacc,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,353
unacc,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,396
unacc,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,291
unacc,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,397
unacc,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,993
unacc,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,1532
unacc,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,45
unacc,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,141
unacc,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,1571
unacc,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,532
unacc,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,1193
unacc,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,921
unacc,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,612
unacc,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,348
unacc,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,1167
unacc,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,64
unacc,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,426
unacc,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,1567
unacc,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,213
unacc,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1698
unacc,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,94
unacc,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,898
unacc,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,658
unacc,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,149
unacc,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,172
unacc,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,1179
unacc,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,693
unacc,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,1081
unacc,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,1598
unacc,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,748
unacc,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,1506
unacc,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,1371
unacc,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,924
unacc,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,987
unacc,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,1008
unacc,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,1023
unacc,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,811
unacc,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,1563
unacc,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,530
unacc,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,777
unacc,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,533
unacc,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,124
unacc,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1491
unacc,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,1512
unacc,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,729
unacc,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,570
unacc,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1489
unacc,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,553
unacc,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,182
unacc,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,712
unacc,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,753
unacc,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,267
unacc,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,775
unacc,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,297
unacc,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1520
unacc,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,1191
unacc,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,1355
unacc,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,627
unacc,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,1063
unacc,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,1665
unacc,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,845
unacc,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,991
unacc,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,330
unacc,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,109
unacc,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,813
unacc,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,300
unacc,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,1629
unacc,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,387
