X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,sampleNum
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14
8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,4.280824129164719,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,228
2,5,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,284
2,4,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,308
2,4,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,1.1216775615991057,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,484
4,4,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,2.020222182019865,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,263
7,4,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.0784095813505903,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,458
4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,106
4,4,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,1.4036429994545037,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,172
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,2.3767644911682972,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,278
6,5,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,3.0459499897146083,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,364
3,4,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,314
2,4,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,2.4096441652874536,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,241
3,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,453
8,6,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,297
8,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,247
6,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11
1,4,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.35767444427181594,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,138
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,460
6,5,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,298
3,4,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,100
6,5,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,312
8,6,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.43178241642553783,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,435
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,52
2,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,404
6,6,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,46
7,4,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.3435897043900769,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,305
6,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.0647107369924282,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,160
4,5,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,1.3270750014599193,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,495
6,5,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.35767444427181594,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,509
4,4,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,3.8649313978942956,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,487
4,3,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,54
7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,3.6560979645895566,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,223
7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24
1,2,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,82
6,5,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,1.8547342683894434,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,462
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,23
3,4,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,2.50470927708418,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,197
3,4,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,347
4,5,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,3.966132331075178,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,394
2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,2.3997118037247684,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,194
7,4,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,2.498151876538021,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,513
6,3,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,2.428336298299606,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,253
6,4,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.6418538861723948,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,295
6,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,2.2607208888953467,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,493
3,4,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,3.607669398688393,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,220
4,3,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,2.174751721484161,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,407
2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,1.7387102481382397,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,176
