X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,sampleNum
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,25
4,4,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,41
4,5,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,366
9,9,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.3074846997479606,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,137
8,6,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,1.1568811967920856,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,342
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,1.463255402256019,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,457
3,5,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,125
2,2,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,57
7,4,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,2.4898941912990393,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,369
5,6,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,1.5325568680981427,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,396
1,4,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,1.1410330045520618,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,332
2,2,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,67
4,6,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,4.175924549214524,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,227
7,4,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,286
7,4,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,1.1662709371419244,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,477
7,4,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,2.8118094353930627,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,330
6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,0.7839015438284094,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,149
8,6,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,1.2669476034873244,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,168
8,6,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,0.8020015854720274,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,440
1,3,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.5423242908253617,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,422
7,4,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,2.057962510002712,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,182
7,3,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,3.3446270301737613,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,212
4,3,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.5187937934151675,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,256
3,4,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,110
2,5,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,1.4085449700547104,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,271
5,4,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,2.166765369851511,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,379
6,5,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,1.430311246536665,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,465
4,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,108
6,5,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,1.2556160374777743,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,166
6,3,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,357
4,3,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,2.405141681319138,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,473
2,2,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,0.9669838461896731,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,156
7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,1.3190856114264407,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,171
8,6,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,425
6,5,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,3.6975913947159578,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,374
5,4,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,1.998773638612381,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,181
1,4,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,433
2,2,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,2.0592388343623163,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,464
2,2,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,3.6381123370602833,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,222
6,3,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,3.5655812377694427,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,319
3,4,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,370
8,6,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,2.8524391037275145,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,380
4,5,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,107
1,2,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.5364933705145685,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,142
7,5,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,294
8,4,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,2.578700529074361,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,383
7,4,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.41871033485818504,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,361
8,6,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,6.616439947564594,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,414
4,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,104
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3
4,5,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,378
4,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,1.2919836816486494,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,291
6,5,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,1.6900958154515549,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,323
2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,2.3988039507345884,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,193
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,346
8,6,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,340
2,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,2.800325477211381,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,205
5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,20
1,5,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,2.1162555148025524,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,186
8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,4.08260930600368,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,226
9,9,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,74
6,4,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,4.648133885420207,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,231
3,4,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,123
7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,0.8671004876833833,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,258
9,9,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,401
9,5,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,398
6,5,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,3.492256112609122,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,218
9,4,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,0.9669838461896731,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,411
6,5,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,299
2,4,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,1.6582280766035324,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,261
8,6,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,92
3,4,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,115
5,5,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,386
6,5,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,3.726656818447966,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,497
4,5,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,2.4898941912990393,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,196
1,2,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,5.365415110080531,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,236
4,3,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,3.675794214565281,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,470
2,4,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,420
8,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,2.6878474937846906,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,202
4,5,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,315
6,3,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,4.04375277610604,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,336
4,5,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,5.049086480470509,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,233
4,5,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,406
2,4,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.0818051703517284,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,502
2,5,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,2.2700619012884857,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,190
2,2,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,66
7,5,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,2.469793011977952,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,498
8,5,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.2151113796169455,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,250
3,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,2.462149662665384,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,276
5,4,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,439
5,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,372
4,4,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,3.389799336709786,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,214
2,5,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,254
4,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,129
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
8,6,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,431
4,4,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.5822156198526637,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,264
4,5,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,452
4,5,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,2.005525858729668,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,449
2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,102
4,5,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,371
7,6,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,285
3,4,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,3.2422016501716975,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,385
