MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
143,1500,6300,0,5,32,30,20
800,256,8000,0,1,4,14,58
300,1000,16000,8,2,112,38,82
250,1000,16000,1,1,8,50,175
110,1000,4000,16,1,2,26,54
160,512,2000,2,3,8,32,177
75,2000,16000,64,1,38,144,64
50,2000,8000,8,3,6,45,126
29,8000,16000,32,8,16,132,4
160,1000,4000,8,1,14,38,178
300,384,12000,6,1,24,53,77
140,2000,4000,8,1,20,22,92
400,4000,8000,0,1,1,32,106
1100,768,2000,0,1,1,13,103
56,5240,20970,30,12,24,106,34
125,2000,8000,0,2,14,52,206
98,1000,8000,32,2,8,46,205
90,256,1000,0,3,10,17,66
56,4000,12000,0,1,8,42,163
52,4000,16000,32,4,12,130,186
50,4000,16000,65,1,8,138,13
75,2000,16000,128,1,38,259,65
124,1000,8000,0,1,8,42,204
70,4000,12000,8,6,8,75,187
800,768,2000,0,0,0,20,124
900,512,1000,0,1,2,11,108
50,2000,16000,24,6,16,54,135
140,2000,4000,8,1,20,35,87
800,256,8000,0,1,4,16,60
225,2000,4000,8,3,6,34,113
50,2000,8000,8,1,6,56,127
125,512,1000,0,8,20,36,62
75,3000,8000,8,3,48,64,71
92,2000,8000,32,1,6,62,140
240,512,1000,8,1,3,6,181
143,512,5000,0,7,32,28,17
1100,512,1500,0,1,1,7,102
29,8000,32000,32,8,32,220,2
800,256,8000,0,1,4,22,61
25,1310,2620,131,12,24,368,31
26,16000,32000,64,16,24,465,95
140,2000,32000,32,1,54,141,90
105,2000,4000,8,3,8,22,183
50,2000,16000,12,3,16,45,134
203,1000,2000,0,1,5,24,100
30,8000,64000,96,12,176,915,198
180,262,4000,0,1,3,18,202
75,2000,8000,64,1,38,144,63
320,256,5000,4,1,6,27,29
50,1000,4000,8,3,5,26,39
26,16000,32000,64,8,24,465,96
50,500,2000,8,1,4,20,36
72,4000,16000,64,8,16,143,148
38,4000,8000,32,16,32,51,165
200,1000,8000,0,1,2,36,53
92,2000,8000,4,1,6,50,142
1500,768,2000,0,0,0,18,123
810,1000,5000,0,1,1,20,47
38,8000,16000,64,4,8,100,167
180,262,4000,0,1,3,12,200
50,2620,10480,30,12,24,63,33
320,512,8000,4,1,5,40,48
180,512,4000,0,1,3,21,203
50,2000,8000,8,1,5,71,38
140,2000,32000,32,1,20,134,88
900,1000,4000,4,1,2,18,109
17,4000,16000,8,6,12,100,120
60,4000,16000,32,1,6,86,144
40,8000,32000,64,8,24,277,151
175,256,2000,0,3,24,22,72
38,8000,32000,64,8,24,326,155
23,32000,64000,128,32,64,1144,9
330,1000,2000,0,1,2,16,83
200,512,16000,0,4,32,35,15
56,2000,8000,0,1,8,24,161
320,256,6000,0,1,6,33,26
140,2000,8000,32,1,54,66,89
480,512,8000,32,0,0,67,207
600,768,2000,0,1,1,16,104
25,1310,2620,131,12,24,274,30
320,512,5000,4,1,5,77,28
25,2000,12000,8,1,4,49,118
200,2000,8000,64,1,5,41,172
64,5240,20970,30,12,24,208,35
17,4000,16000,32,6,12,133,121
40,8000,16000,32,8,16,214,150
160,2000,8000,32,1,13,109,180
320,512,2000,4,1,3,69,25
26,8000,32000,64,12,16,248,191
30,8000,64000,128,12,176,1150,199
38,4000,16000,128,16,32,212,169
50,2000,32000,24,6,26,114,194
110,5000,5000,142,8,64,120,19
100,1000,8000,0,2,6,16,131
320,256,3000,4,1,3,27,27
200,512,8000,8,1,8,62,49
140,2000,32000,32,1,54,189,91
56,4000,16000,0,1,8,46,164
56,1000,4000,0,1,6,17,159
23,16000,32000,64,16,32,489,7
350,64,64,0,1,4,10,14
50,2000,16000,24,1,6,70,128
50,2620,10480,30,12,24,32,32
50,2000,32000,48,26,52,208,195
140,2000,4000,0,4,8,40,86
900,1000,1000,0,1,2,11,107
56,2000,6000,0,1,8,21,160
200,1000,4000,0,1,4,30,171
100,1000,8000,24,2,6,26,132
300,768,4500,0,1,24,45,76
50,2000,16000,8,3,6,52,42
75,4000,16000,16,1,6,66,143
29,8000,32000,32,8,32,172,3
50,4000,16000,64,5,10,111,147
38,4000,8000,32,16,32,116,166
100,1000,8000,24,3,6,32,133
150,512,4000,0,8,128,30,137
300,768,12000,6,6,24,50,75
26,8000,16000,0,8,16,185,98
300,768,3000,6,6,24,44,74
480,1000,4000,0,0,0,45,208
25,2000,12000,16,3,5,66,119
480,96,512,0,1,1,6,99
56,4000,8000,0,1,8,34,162
26,8000,32000,0,8,24,277,97
225,2000,4000,8,3,6,40,112
84,1000,2000,0,1,6,12,158
810,512,512,8,1,1,18,46
50,2000,16000,8,3,6,60,43
900,1000,4000,8,1,2,22,110
75,2000,8000,8,3,24,62,70
115,512,6000,16,1,6,45,101
133,1000,8000,9,3,12,72,45
250,512,4000,0,1,7,25,173
160,512,4000,2,1,5,30,176
115,2000,8000,16,1,3,50,138
800,256,8000,0,1,4,20,59
35,8000,32000,64,8,24,370,152
38,16000,32000,128,16,32,510,153
26,8000,24000,32,8,16,173,190
105,1000,4000,0,3,24,32,68
180,512,4000,0,1,3,14,201
143,2300,6200,0,6,64,61,22
220,1000,8000,16,1,2,71,56
180,768,12000,6,1,31,84,79
26,8000,32000,128,24,32,405,192
1500,768,1000,0,0,0,12,122
167,524,2000,8,4,15,19,16
140,1000,16000,16,1,3,138,52
116,2000,8000,32,5,28,70,193
140,2000,4000,0,3,6,29,85
50,4000,32000,112,52,104,397,197
23,16000,32000,64,16,32,367,6
125,256,6000,256,16,128,198,0
50,2000,32000,112,52,104,307,196
900,2000,4000,0,3,6,37,111
50,2000,4000,0,3,6,27,125
400,2000,4000,0,1,1,32,105
300,192,768,6,6,24,36,78
180,2000,16000,16,1,6,66,116
330,1000,3000,0,2,4,16,80
50,2000,16000,24,6,16,65,136
