MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
48,4000,24000,32,8,24,214,154
72,2000,8000,16,6,8,105,149
50,2000,16000,24,1,6,80,129
133,1000,12000,9,3,12,72,44
105,2000,4000,8,3,19,32,69
50,2000,16000,8,3,5,40,41
29,8000,32000,32,8,32,269,1
400,1000,3000,0,1,2,38,10
300,768,3000,0,6,24,36,73
700,256,2000,0,1,1,24,51
330,1000,4000,0,3,6,22,84
50,1000,8000,8,3,5,36,40
23,16000,64000,64,16,32,636,8
57,4000,16000,1,6,12,132,93
320,128,6000,0,1,12,23,24
110,1000,12000,16,1,2,60,55
400,512,3500,4,1,6,40,11
300,1000,4000,8,3,64,38,81
59,4000,12000,32,6,12,113,188
160,1000,8000,16,1,14,60,179
57,4000,24000,64,12,16,237,94
110,3100,6200,0,6,64,76,23
185,2000,16000,16,1,6,76,115
60,2000,8000,65,1,8,92,12
700,384,8000,0,1,1,24,50
800,256,8000,0,1,4,12,57
115,2000,4000,2,1,5,40,139
143,1000,2000,0,5,16,31,18
92,2000,8000,32,1,6,60,141
50,8000,16000,48,1,10,136,130
112,1000,1000,0,1,4,8,157
240,512,2000,8,1,5,11,182
105,2000,6000,16,6,16,33,184
105,256,2000,0,3,10,26,67
180,2000,8000,8,1,6,50,114
26,8000,32000,64,8,32,318,5
60,4000,16000,64,5,8,93,146
200,1000,2000,0,1,2,25,170
50,1000,4000,8,1,5,29,37
143,3100,6200,0,5,20,33,21
38,8000,24000,160,4,8,140,168
