learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.01,2,2,55800,558,1674,-153.2493106520007,0.6548042704626335,0.6548042704626335
0.01,2,4,55800,558,1116,-148.53715767884222,0.6548042704626335,0.6548042704626335
0.01,2,9,55800,558,1116,-152.9066921733088,0.6548042704626335,0.6548042704626335
0.01,2,18,55800,558,1116,-154.0823592142328,0.6548042704626335,0.6548042704626335
0.01,2,36,55800,558,1116,-149.72372138612548,0.6548042704626335,0.6548042704626335
0.01,4,2,55800,558,1674,-152.3916707883444,0.6548042704626335,0.6548042704626335
0.01,4,4,55800,558,1116,-154.46820264410388,0.6548042704626335,0.6548042704626335
0.01,4,9,55800,558,1674,-152.65565096622169,0.6548042704626335,0.6548042704626335
0.01,4,18,55800,558,1674,-152.38629911908572,0.6548042704626335,0.6548042704626335
0.01,4,36,55800,558,1674,-142.9976748467847,0.6548042704626335,0.6548042704626335
0.01,9,2,55800,558,1116,-153.7213635319954,0.6548042704626335,0.6548042704626335
0.01,9,4,55800,558,1674,-152.9788874643557,0.6548042704626335,0.6548042704626335
0.01,9,9,55800,558,1674,-154.96564215002252,0.6548042704626335,0.6548042704626335
0.01,9,18,55800,558,1116,-148.25846248050817,0.6548042704626335,0.6548042704626335
0.01,9,36,55800,558,1116,-159.95111509367504,0.6548042704626335,0.6548042704626335
0.01,18,2,55800,558,1674,-153.75722339013132,0.6548042704626335,0.6548042704626335
0.01,18,4,55800,558,1674,-153.71318798683444,0.6548042704626335,0.6548042704626335
0.01,18,9,55800,558,1674,-155.10095083411971,0.6548042704626335,0.6548042704626335
0.01,18,18,55800,558,1116,-147.26034408394057,0.6548042704626335,0.6548042704626335
0.01,18,36,55800,558,2790,-149.09754572367228,0.6548042704626335,0.6548042704626335
0.01,36,2,55800,558,1116,-154.86860043750326,0.6548042704626335,0.6548042704626335
0.01,36,4,55800,558,1674,-154.33377491982023,0.6548042704626335,0.6548042704626335
0.01,36,9,55800,558,1116,-156.49141007690534,0.6548042704626335,0.6548042704626335
0.01,36,18,55800,558,1674,-149.1779735174925,0.6548042704626335,0.6548042704626335
0.01,36,36,55800,558,1116,-146.78893039624865,0.6548042704626335,0.6548042704626335
0.1,2,2,55800,558,1116,-159.01459510392522,0.6548042704626335,0.6548042704626335
0.1,2,4,55800,558,2790,-261.16627117352186,0.9501779359430605,0.6548042704626335
0.1,2,9,55800,558,2790,-263.3556629003442,0.9572953736654805,0.6548042704626335
0.1,2,18,55800,558,2790,-262.9987672197848,0.9501779359430605,0.6548042704626335
0.1,2,36,55800,558,2790,-260.8743854729206,0.9430604982206405,0.6548042704626335
0.1,4,2,55800,558,3348,-262.2764299241137,0.9466192170818505,0.6548042704626335
0.1,4,4,55800,558,2790,-259.65861945616376,0.9466192170818505,0.6548042704626335
0.1,4,9,55800,558,2790,-258.2926846068949,0.9430604982206405,0.6548042704626335
0.1,4,18,55800,558,2232,-262.2476029521171,0.9501779359430605,0.6548042704626335
0.1,4,36,55800,558,2232,-262.0152361714472,0.9537366548042705,0.6548042704626335
0.1,9,2,55800,558,1116,-152.68033715989532,0.6548042704626335,0.6548042704626335
0.1,9,4,55800,558,2232,-262.0832924990901,0.9537366548042705,0.6548042704626335
0.1,9,9,55800,558,2232,-262.05873317412346,0.9537366548042705,0.6548042704626335
0.1,9,18,55800,558,2232,-262.2929456121588,0.9501779359430605,0.6548042704626335
0.1,9,36,55800,558,2790,-263.6102284052162,0.9537366548042705,0.6548042704626335
0.1,18,2,55800,558,2790,-260.58233655075907,0.9572953736654805,0.6548042704626335
0.1,18,4,55800,558,2790,-262.50460587631534,0.9572953736654805,0.6548042704626335
0.1,18,9,55800,558,2232,-262.76082973213875,0.9501779359430605,0.6548042704626335
0.1,18,18,55800,558,2232,-263.8884990256195,0.9572953736654805,0.6548042704626335
0.1,18,36,55800,558,2232,-263.73885268328416,0.9501779359430605,0.6548042704626335
0.1,36,2,55800,558,3348,-263.7404441196099,0.9572953736654805,0.6548042704626335
0.1,36,4,55800,558,2790,-264.71369488887154,0.9537366548042705,0.6548042704626335
0.1,36,9,55800,558,2232,-262.18039708474396,0.9608540925266904,0.6548042704626335
0.1,36,18,55800,558,1674,-260.7756119146827,0.9572953736654805,0.6548042704626335
0.1,36,36,55800,558,2232,-264.83467715308444,0.9608540925266904,0.6548042704626335
