learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.01,3,3,138400,1384,4152,-379.9196693972827,0.6994219653179191,0.6994219653179191
0.01,3,7,138400,1384,5536,-385.6570111342163,0.6994219653179191,0.6994219653179191
0.01,3,15,138400,1384,2768,-346.0304690158338,0.6994219653179191,0.6994219653179191
0.01,3,30,138400,1384,5536,-353.9690980827743,0.6994219653179191,0.6994219653179191
0.01,3,60,138400,1384,4152,-395.2654291948127,0.6994219653179191,0.6994219653179191
0.01,7,3,138400,1384,5536,-372.433770553509,0.6994219653179191,0.6994219653179191
0.01,7,7,138400,1384,2768,-378.0768870334311,0.6994219653179191,0.6994219653179191
0.01,7,15,138400,1384,5536,-374.9384820919363,0.6994219653179191,0.6994219653179191
0.01,7,30,138400,1384,2768,-360.56442044396425,0.6994219653179191,0.6994219653179191
0.01,7,60,138400,1384,5536,-356.0295914512442,0.6994219653179191,0.6994219653179191
0.01,15,3,138400,1384,2768,-361.0505901795215,0.6994219653179191,0.6994219653179191
0.01,15,7,138400,1384,2768,-362.9375127088688,0.6994219653179191,0.6994219653179191
0.01,15,15,138400,1384,2768,-375.86584112527714,0.6994219653179191,0.6994219653179191
0.01,15,30,138400,1384,5536,-367.3115645805494,0.6994219653179191,0.6994219653179191
0.01,15,60,138400,1384,4152,-373.5061535921359,0.6994219653179191,0.6994219653179191
0.01,30,3,138400,1384,2768,-375.7706714869052,0.6994219653179191,0.6994219653179191
0.01,30,7,138400,1384,4152,-372.21792789371233,0.6994219653179191,0.6994219653179191
0.01,30,15,138400,1384,4152,-385.02381970858846,0.6994219653179191,0.6994219653179191
0.01,30,30,138400,1384,2768,-358.7549457249994,0.6994219653179191,0.6994219653179191
0.01,30,60,138400,1384,2768,-370.9783584884467,0.6994219653179191,0.6994219653179191
0.01,60,3,138400,1384,4152,-367.1836253291795,0.6994219653179191,0.6994219653179191
0.01,60,7,138400,1384,2768,-364.00949808650006,0.6994219653179191,0.6994219653179191
0.01,60,15,138400,1384,5536,-368.14437083983546,0.6994219653179191,0.6994219653179191
0.01,60,30,138400,1384,2768,-378.1284333081395,0.6994219653179191,0.6994219653179191
0.01,60,60,138400,1384,2768,-352.4000371936708,0.6994219653179191,0.6994219653179191
0.1,3,3,138400,1384,2768,-418.7112540777709,0.6994219653179191,0.6994219653179191
0.1,3,7,138400,1384,6920,-550.1139375351215,0.8829479768786127,0.6994219653179191
0.1,3,15,138400,1384,5536,-548.5640940543645,0.8627167630057804,0.6994219653179191
0.1,3,30,138400,1384,11072,-568.2010483764789,0.8858381502890174,0.6994219653179191
0.1,3,60,138400,1384,5536,-539.0028824260983,0.8424855491329479,0.6994219653179191
0.1,7,3,138400,1384,8304,-560.6806352346525,0.8583815028901735,0.6994219653179191
0.1,7,7,138400,1384,5536,-556.3607533049425,0.8728323699421965,0.6994219653179191
0.1,7,15,138400,1384,9688,-572.2661721631135,0.8728323699421965,0.6994219653179191
0.1,7,30,138400,1384,5536,-541.2014289278345,0.869942196531792,0.6994219653179191
0.1,7,60,138400,1384,6920,-561.4434033075389,0.865606936416185,0.6994219653179191
0.1,15,3,138400,1384,8304,-549.950372485472,0.8757225433526011,0.6994219653179191
0.1,15,7,138400,1384,8304,-566.7738473564452,0.8728323699421965,0.6994219653179191
0.1,15,15,138400,1384,6920,-520.8470916787778,0.8222543352601156,0.6994219653179191
0.1,15,30,138400,1384,6920,-565.6409779251414,0.8771676300578035,0.6994219653179191
0.1,15,60,138400,1384,5536,-558.6970961006331,0.8858381502890174,0.6994219653179191
0.1,30,3,138400,1384,2768,-383.49910023861,0.6994219653179191,0.6994219653179191
0.1,30,7,138400,1384,5536,-502.34160616635603,0.7991329479768786,0.6994219653179191
0.1,30,15,138400,1384,6920,-561.1616166285262,0.869942196531792,0.6994219653179191
0.1,30,30,138400,1384,6920,-551.4153787712946,0.8684971098265896,0.6994219653179191
0.1,30,60,138400,1384,8304,-564.9694764098283,0.8815028901734104,0.6994219653179191
0.1,60,3,138400,1384,2768,-360.7272204509706,0.6994219653179191,0.6994219653179191
0.1,60,7,138400,1384,2768,-339.2049297192619,0.6994219653179191,0.6994219653179191
0.1,60,15,138400,1384,8304,-562.2816161866559,0.8641618497109826,0.6994219653179191
0.1,60,30,138400,1384,8304,-562.731928593199,0.869942196531792,0.6994219653179191
0.1,60,60,138400,1384,8304,-569.4613866406296,0.8497109826589595,0.6994219653179191
