learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,6,6,41400,414,1656,1.883230671619485,,1.8828322152878478
0.001,6,13,41400,414,1242,1.8842129967335015,,1.8828322152878478
0.001,6,27,41400,414,1242,1.8834149149789632,,1.8828322152878478
0.001,6,54,41400,414,828,1.8887819688078211,,1.8828322152878478
0.001,13,6,41400,414,1656,1.8833597057547233,,1.8828322152878478
0.001,13,13,41400,414,1656,1.8831626202437324,,1.8828322152878478
0.001,13,27,41400,414,828,1.8831814576312458,,1.8828322152878478
0.001,13,54,41400,414,828,1.889084464138821,,1.8828322152878478
0.001,27,6,41400,414,1656,1.8830698565765942,,1.8828322152878478
0.001,27,13,41400,414,1242,1.88285221455508,,1.8828322152878478
0.001,27,27,41400,414,1242,1.8833713874129476,,1.8828322152878478
0.001,27,54,41400,414,828,1.8828468519700274,,1.8828322152878478
0.001,54,6,41400,414,1656,1.882897689497645,,1.8828322152878478
0.001,54,13,41400,414,1242,1.882940670624455,,1.8828322152878478
0.001,54,27,41400,414,828,1.8828307154233797,,1.8828322152878478
0.001,54,54,41400,414,828,1.8885251521195876,,1.8828322152878478
