learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.1,8,8,35000,350,700,-90.8149926712623,0.6149425287356322,0.6149425287356322
0.1,8,16,35000,350,1750,-161.10541494015916,0.9482758620689655,0.6149425287356322
0.1,8,32,35000,350,2450,-162.938631510549,0.9425287356321839,0.6149425287356322
0.1,8,64,35000,350,700,-80.69747376449313,0.3850574712643678,0.6149425287356322
0.1,16,8,35000,350,2100,-162.63378277332887,0.9540229885057471,0.6149425287356322
0.1,16,16,35000,350,1750,-161.05038966598755,0.9425287356321839,0.6149425287356322
0.1,16,32,35000,350,1750,-162.97825673063724,0.9540229885057471,0.6149425287356322
0.1,16,64,35000,350,2100,-161.40699105941232,0.9367816091954023,0.6149425287356322
0.1,32,8,35000,350,2100,-159.33444913735846,0.9482758620689655,0.6149425287356322
0.1,32,16,35000,350,2100,-162.4535394884102,0.9540229885057471,0.6149425287356322
0.1,32,32,35000,350,1400,-156.7717999216269,0.9195402298850575,0.6149425287356322
0.1,32,64,35000,350,1750,-162.00629124019432,0.9482758620689655,0.6149425287356322
0.1,64,8,35000,350,2100,-161.3565809516291,0.9540229885057471,0.6149425287356322
0.1,64,16,35000,350,2100,-161.61593837601183,0.9482758620689655,0.6149425287356322
0.1,64,32,35000,350,2100,-162.2428979092801,0.9597701149425287,0.6149425287356322
0.1,64,64,35000,350,2100,-162.45545246604158,0.9540229885057471,0.6149425287356322
