learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,1,1,16800,168,2184,18307.488195863378,,25383.913123582763
0.001,1,3,16800,168,1680,20083.982790996175,,25383.913123582763
0.001,1,6,16800,168,504,18942.372015892222,,25383.913123582763
0.001,1,12,16800,168,504,34628.583858498154,,25383.913123582763
0.001,1,24,16800,168,504,14274.006487606923,,25383.913123582763
0.001,3,1,16800,168,2016,19194.345726875315,,25383.913123582763
0.001,3,3,16800,168,1008,16381.496288073577,,25383.913123582763
0.001,3,6,16800,168,1008,16427.88420157758,,25383.913123582763
0.001,3,12,16800,168,504,18076.726928506483,,25383.913123582763
0.001,3,24,16800,168,504,14845.008385890014,,25383.913123582763
0.001,6,1,16800,168,1512,18888.53493466337,,25383.913123582763
0.001,6,3,16800,168,1008,16145.565448992731,,25383.913123582763
0.001,6,6,16800,168,672,15324.876912386459,,25383.913123582763
0.001,6,12,16800,168,504,15916.850504577933,,25383.913123582763
0.001,6,24,16800,168,504,13246.215780487886,,25383.913123582763
0.001,12,1,16800,168,1680,18560.957096877177,,25383.913123582763
0.001,12,3,16800,168,1176,21183.527513923073,,25383.913123582763
0.001,12,6,16800,168,672,15494.978022876745,,25383.913123582763
0.001,12,12,16800,168,840,15438.637624175797,,25383.913123582763
0.001,12,24,16800,168,336,14921.259888179833,,25383.913123582763
0.001,24,1,16800,168,1512,18937.593976009717,,25383.913123582763
0.001,24,3,16800,168,1008,16592.64082592087,,25383.913123582763
0.001,24,6,16800,168,840,16550.421456314365,,25383.913123582763
0.001,24,12,16800,168,504,15940.276356317829,,25383.913123582763
0.001,24,24,16800,168,336,16028.723215065304,,25383.913123582763
0.01,1,1,16800,168,336,25386.89847917883,,25383.913123582763
0.01,1,3,16800,168,336,14370.103389814522,,25383.913123582763
0.01,1,6,16800,168,336,21100.46867116322,,25383.913123582763
0.01,1,12,16800,168,336,25201.587341941977,,25383.913123582763
0.01,1,24,16800,168,504,27155.27933208438,,25383.913123582763
0.01,3,1,16800,168,336,21932.65462731397,,25383.913123582763
0.01,3,3,16800,168,336,32163.557346950347,,25383.913123582763
0.01,3,6,16800,168,672,17174.91729448214,,25383.913123582763
0.01,3,12,16800,168,336,29118.360648115766,,25383.913123582763
0.01,3,24,16800,168,336,27749.795259646395,,25383.913123582763
0.01,6,1,16800,168,336,25480.697456695507,,25383.913123582763
0.01,6,3,16800,168,336,25394.329179566925,,25383.913123582763
0.01,6,6,16800,168,504,23766.250478561706,,25383.913123582763
0.01,6,12,16800,168,336,25386.017217126824,,25383.913123582763
0.01,6,24,16800,168,504,23642.11887485055,,25383.913123582763
0.01,12,1,16800,168,336,25413.19401095,,25383.913123582763
0.01,12,3,16800,168,672,20822.964748273906,,25383.913123582763
0.01,12,6,16800,168,336,25437.664343583237,,25383.913123582763
0.01,12,12,16800,168,336,25349.53036479178,,25383.913123582763
0.01,12,24,16800,168,672,23524.139257230207,,25383.913123582763
0.01,24,1,16800,168,504,21799.13446227561,,25383.913123582763
0.01,24,3,16800,168,336,25392.38301185615,,25383.913123582763
0.01,24,6,16800,168,336,18772.5048885467,,25383.913123582763
0.01,24,12,16800,168,336,25423.131512178476,,25383.913123582763
0.01,24,24,16800,168,336,24442.373123341502,,25383.913123582763
